analysis,species,metabolite,n,r,p,q_bh
MetaPhlAn_presence_absence,Gemella morbillorum,C05122_Taurocholate,346,0.27007448856131994,3.3859817410950873e-07,1.4132793354136017e-06
MetaPhlAn_presence_absence,Gemella morbillorum,C00378_Thiamine,346,-0.10854117751733525,0.04362866502293865,0.047594907297751246
MetaPhlAn_presence_absence,Gemella morbillorum,"C00628_2,5-Dihydroxybenzoate",346,0.08933671535683818,0.0971028352224533,0.10023518474575824
MetaPhlAn_presence_absence,Gemella morbillorum,C00431_5-Aminovalerate,346,0.2577862489121067,1.1730517042310305e-06,3.5191551126930914e-06
MetaPhlAn_presence_absence,Fusobacterium nucleatum,C08261_Azelate,346,-0.1334179418725922,0.012997036944572594,0.01579386767948062
MetaPhlAn_presence_absence,Fusobacterium nucleatum,C00576_Betaine aldehyde,346,-0.09527882715690984,0.07674318963426069,0.08007985005314158
MetaPhlAn_presence_absence,Fusobacterium nucleatum,C00294_Inosine,346,-0.14588909743384132,0.006559197501646192,0.008177700781273174
MetaPhlAn_presence_absence,Fusobacterium nucleatum,C01042_N-Acetylaspartate,346,-0.10435831162403181,0.052446466909772914,0.05657146992514831
MetaPhlAn_presence_absence,Fusobacterium nucleatum,C04501_N-Acetylglucosamine 1-phosphate,346,0.010062228601561649,0.8520560661943098,0.8520560661943098
MetaPhlAn_presence_absence,Fusobacterium nucleatum,C00624_N-Acetylglutamate,346,-0.20358385308035,0.00013718804888970912,0.000248491560253058
MetaPhlAn_presence_absence,Fusobacterium nucleatum,C08277_Sebacate,346,-0.10400308652995727,0.0532592344990182,0.05680985013228607
MetaPhlAn_presence_absence,Fusobacterium nucleatum,C00398_Tryptamine,346,0.1555501505788689,0.0037244305714812576,0.005038856947817143
MetaPhlAn_presence_absence,Fusobacterium nucleatum,"C00986_1,3-Diaminopropane",346,0.292895103200421,2.8461636563203963e-08,1.8900864204707343e-07
MetaPhlAn_presence_absence,Fusobacterium nucleatum,C03264_2-Hydroxy-4-methylpentanoate,346,0.156397058079956,0.0035387576965944098,0.004923488969174831
MetaPhlAn_presence_absence,Fusobacterium nucleatum,"C06057_3-Aminopropane-1,2-diol",346,0.13006429052265298,0.015483307292573661,0.0176952083343699
