analysis,species,metabolite,n,r,p,q_bh,exact_taxon_match
mOTU_CLR,Gemella morbillorum,"C00628_2,5-Dihydroxybenzoate",346,0.034746613600909276,0.5194586895263258,0.524926675731866,True
mOTU_CLR,Gemella morbillorum,C00431_5-Aminovalerate,346,0.3366390672243004,1.295012116029316e-10,4.972846525552574e-10,True
mOTU_CLR,Fusobacterium nucleatum,C08261_Azelate,346,-0.34753680037784984,2.939454172421328e-11,1.2269026110975977e-10,True
mOTU_CLR,Fusobacterium nucleatum,C00576_Betaine aldehyde,346,-0.25591446611260255,1.4097673219028249e-06,2.4167439804048427e-06,True
mOTU_CLR,Fusobacterium nucleatum,C00294_Inosine,346,-0.18924280580886235,0.00040101386367737845,0.0004583015584884325,True
mOTU_CLR,Fusobacterium nucleatum,C01042_N-Acetylaspartate,346,-0.2113991599034674,7.404505395221753e-05,9.605844837044436e-05,True
mOTU_CLR,Fusobacterium nucleatum,C04501_N-Acetylglucosamine 1-phosphate,346,-0.2034634573875388,0.00013847280456986543,0.00016827074985705166,True
mOTU_CLR,Fusobacterium nucleatum,C00624_N-Acetylglutamate,346,-0.3907685111168933,4.540624651172472e-14,5.448749581406967e-13,True
mOTU_CLR,Fusobacterium nucleatum,C08277_Sebacate,346,-0.3882489982078756,6.80240588081733e-14,7.255899606205153e-13,True
mOTU_CLR,Fusobacterium nucleatum,C00398_Tryptamine,346,0.45883904891782373,2.034779957159565e-19,1.9533887588731823e-17,True
mOTU_CLR,Fusobacterium nucleatum,"C00986_1,3-Diaminopropane",346,0.18035653217851186,0.0007506874171146833,0.0008379766516629022,True
mOTU_CLR,Fusobacterium nucleatum,C03264_2-Hydroxy-4-methylpentanoate,346,0.2689329879608546,3.810299821146828e-07,7.465077200614194e-07,True
mOTU_CLR,Fusobacterium nucleatum,"C06057_3-Aminopropane-1,2-diol",346,0.31850006626550725,1.347896371665393e-09,4.61146667476908e-09,True
mOTU_CLR,Parvimonas unclassified,C04677_AICAR,346,0.06163671491585908,0.2528527417477479,0.2582325873168489,False
mOTU_CLR,Parvimonas unclassified,C00041_Ala,346,0.20273870376890546,0.000146448268054463,0.00017573792166535558,False
mOTU_CLR,Parvimonas unclassified,C00719_Betaine,346,0.2118073159391584,7.165314304797387e-05,9.422879085760947e-05,False
mOTU_CLR,Parvimonas unclassified,C00576_Betaine aldehyde,346,-0.30128180522422576,1.0824875301176108e-08,2.8086162943592066e-08,False
mOTU_CLR,Parvimonas unclassified,C02256_Castanospermine,346,-0.14830460897298342,0.005710759681624422,0.006091476993732716,False
mOTU_CLR,Parvimonas unclassified,C00114_Choline,346,0.23964739042272842,6.562103834161454e-06,1.0327245378352453e-05,False
mOTU_CLR,Parvimonas unclassified,C00300_Creatine,346,0.2909662140104691,3.5393449822824976e-08,7.901793448816739e-08,False
mOTU_CLR,Parvimonas unclassified,C00491_Cystine,346,0.2734591733153223,2.3782427090192465e-07,4.963289131866254e-07,False
mOTU_CLR,Parvimonas unclassified,C02678_Dodecanedioate,346,-0.34808381071588773,2.7244444144477108e-11,1.2269026110975977e-10,False
mOTU_CLR,Parvimonas unclassified,C00364_dTMP,346,-0.2237869939139684,2.6572105089454197e-05,3.696988534184932e-05,False
mOTU_CLR,Parvimonas unclassified,C00122_Fumarate,346,0.15437240485820616,0.003997296804452708,0.004311690935139999,False
mOTU_CLR,Parvimonas unclassified,C00025_Glu,346,-0.25028210009494134,2.43014838202445e-06,3.954139740243173e-06,False
mOTU_CLR,Parvimonas unclassified,C00191_Glucuronate,346,0.22274699052667682,2.9024910905339322e-05,3.980559209875107e-05,False
mOTU_CLR,Parvimonas unclassified,C01425_Glu-Glu,346,0.21051328076113113,7.949767572574835e-05,0.00010175702492895789,False
mOTU_CLR,Parvimonas unclassified,C00037_Gly,346,0.18978716921348746,0.0003855448076196927,0.0004459313437528975,False
mOTU_CLR,Parvimonas unclassified,C01921_Glycocholate,346,0.1972950569332781,0.0002216388553262308,0.0002626830877940513,False
mOTU_CLR,Parvimonas unclassified,C02037_Gly-Gly,346,0.18707442826036177,0.0004685418229017637,0.0005291766470419919,False
mOTU_CLR,Parvimonas unclassified,C00407_Ile,346,0.20764437410374892,9.986392701060297e-05,0.0001245056752339985,False
mOTU_CLR,Parvimonas unclassified,C00123_Leu,346,0.2087272258232933,9.165982359003604e-05,0.00011578082979794026,False
mOTU_CLR,Parvimonas unclassified,C01042_N-Acetylaspartate,346,-0.2587428770201697,1.0672779010520835e-06,1.9331826132264156e-06,False
mOTU_CLR,Parvimonas unclassified,C00624_N-Acetylglutamate,346,-0.42112423135138005,2.634451359963487e-16,5.058146611129894e-15,False
mOTU_CLR,Parvimonas unclassified,C02721_N-Methylalanine,346,-0.2427942037782717,4.913947124043035e-06,7.862315398468856e-06,False
mOTU_CLR,Parvimonas unclassified,C01046_N-Methylglutamate,346,-0.2606800384253863,8.803874506702363e-07,1.6253306781604363e-06,False
mOTU_CLR,Parvimonas unclassified,C04137_Octopine,346,0.15980740207937824,0.0028729616869483804,0.0031380785262459963,False
mOTU_CLR,Parvimonas unclassified,C01005_O-Phosphoserine,346,0.13793683625588818,0.010205756356092575,0.010766512199833926,False
mOTU_CLR,Parvimonas unclassified,C00079_Phe,346,0.2863149327848031,5.947060947389113e-08,1.297540570339443e-07,False
mOTU_CLR,Parvimonas unclassified,C00408_Pipecolate,346,-0.12193124778364828,0.023310037491418825,0.024061974184690398,False
mOTU_CLR,Parvimonas unclassified,C00042_Succinate,346,0.30152906561113785,1.0515746904530038e-08,2.8041991745413436e-08,False
mOTU_CLR,Parvimonas unclassified,C05122_Taurocholate,346,0.26794969827141796,4.216360319242229e-07,7.936678247985372e-07,False
mOTU_CLR,Parvimonas unclassified,C00183_Val,346,0.23278985953849343,1.2158882026874518e-05,1.7685646584544753e-05,False
mOTU_CLR,Parvimonas unclassified,"C03283_2,4-Diaminobutyrate",346,-0.3144025064792272,2.240115903488008e-09,6.931234638562319e-09,False
mOTU_CLR,Parvimonas unclassified,C02356_2AB,346,0.22193969361935345,3.107501938924344e-05,4.201692762489254e-05,False
mOTU_CLR,Parvimonas unclassified,C03264_2-Hydroxy-4-methylpentanoate,346,0.2959369335288688,2.011598869092933e-08,4.8278372858230395e-08,False
mOTU_CLR,Parvimonas unclassified,2-Hydroxypentanoate,346,0.2683143660582278,4.0611406280637303e-07,7.797390005882363e-07,False
mOTU_CLR,Parvimonas unclassified,C01089_3-Hydroxybutyrate,346,0.25653921299703714,1.3260852385376969e-06,2.3146215072657985e-06,False
mOTU_CLR,Parvimonas unclassified,C05584_4-Hydroxy-3-methoxymandelate,346,0.15978704934185334,0.002876571982392163,0.0031380785262459963,False
mOTU_CLR,Parvimonas unclassified,C00431_5-Aminovalerate,346,0.2981665828250363,1.555763212779641e-08,3.8295709853037316e-08,False
mOTU_CLR,Parvimonas unclassified,C03592_5-Methyl-2'-deoxycytidine,346,-0.2166788341143451,4.8185092447382066e-05,6.424678992984275e-05,False
