species,metabolite,partial_spearman_discovery,partial_spearman_validation,q_bh_family,q_bh_locked,motu_r,motu_p,motu_q,crc_r,crc_p,crc_q,healthy_r,healthy_p,healthy_q,presence_r,presence_p,presence_q,motu_exact,motu_concordant,crc_concordant,presence_concordant,strict_robust
Peptostreptococcus stomatis,C06104_Adipate,-0.2696686659156387,-0.1887728275338935,0.0035734405871034,0.0624980572920924,-0.2718284189567124,2.821234654207141e-07,5.762521846891181e-07,-0.07025139607092945,0.39457044495282967,0.4404507292496704,-0.44878367028294563,1.2113831335053072e-07,8.945598524346884e-07,-0.11658564977688682,0.03014578853572692,0.033651112784067266,True,True,True,True,False
Peptostreptococcus stomatis,C00041_Ala,0.2009462773964311,0.2514462006144293,0.0344693907276829,0.0135211410561369,0.3141512535898989,2.31041154618744e-09,6.931234638562319e-09,0.34936310689412386,1.2595431736493653e-05,0.00011892867333142009,0.24097491051256906,0.006350019414670839,0.013854587813827285,0.26015284593423343,9.278816141308576e-07,2.9692211652187445e-06,True,True,True,True,True
Peptostreptococcus stomatis,C05341_beta-Ala-Lys,0.2646139733343021,0.2387967517818429,0.004074534435462,0.018756928989071,0.31823616719589076,1.3930472246698263e-09,4.61146667476908e-09,0.38581648320165307,1.1779389324735388e-06,2.827053437936493e-05,0.15173661407258668,0.08857689119097825,0.1104335266796612,0.19439645452711377,0.00027512667990432777,0.00044766375035280447,True,True,True,True,True
Peptostreptococcus stomatis,C00576_Betaine aldehyde,-0.2087424062105431,-0.2818078359435229,0.0276690666134237,0.0052913572912233,-0.30095538429657676,1.1246463691752211e-08,2.841211880021611e-08,-0.2155290329604622,0.008295236775208697,0.016943462349362445,-0.23390251188523975,0.008128022315269465,0.016500330406054323,-0.24676552923624756,3.3920404309005953e-06,8.569365299117294e-06,True,True,True,True,True
Peptostreptococcus stomatis,C00114_Choline,0.2063277406703515,0.1910155007620538,0.029790484390854,0.0612171637986699,0.30217292175153204,9.750337449054017e-09,2.6743782717405303e-08,0.3021240720229461,0.00018058618326783648,0.0009124354523006474,0.09642578942433261,0.28083992088184073,0.3134957256355431,0.2925692379189155,2.953260031985522e-08,1.8900864204707343e-07,True,True,True,True,True
Peptostreptococcus stomatis,C00300_Creatine,0.270624695678159,0.2992263548424479,0.0035055471939551,0.0031889849838529,0.3470444814444971,3.147041943320948e-11,1.258816777328379e-10,0.356297279425526,8.204092007984508e-06,9.84491040958141e-05,0.2590219455223857,0.0032765756652274936,0.007671982045410717,0.31822764261189856,1.3945299101348165e-09,3.34687178432356e-08,True,True,True,True,True
Peptostreptococcus stomatis,C02678_Dodecanedioate,-0.2258405586617839,-0.2361378640478569,0.0173033563558883,0.0198013697943992,-0.4172950447331265,5.19378356299811e-16,8.310053700796976e-15,-0.22677827743091414,0.005415855645738626,0.013298630939099753,-0.18349939961640743,0.038917711956093684,0.05414638185195643,-0.16904698990974218,0.001600481216393602,0.002327972678390694,True,True,True,True,True
Peptostreptococcus stomatis,C01425_Glu-Glu,0.3134495278974153,0.1908733925947599,0.0004108433646468,0.0612171637986699,0.31528731904684837,2.008699002038819e-09,6.427836806524221e-09,0.3297270095803237,4.019216791923142e-05,0.00032153734335385137,0.21681299534648932,0.014349324097009102,0.025046092969324977,0.2493590193338645,2.6537410714616454e-06,6.8853822394680524e-06,True,True,True,True,True
Peptostreptococcus stomatis,C01921_Glycocholate,0.3155859950764776,0.2921285620516759,0.0003857370319583,0.0039571116179692,0.3556997362184819,9.31755323498751e-12,5.261677120934123e-11,0.43360103015410606,3.3161788196631566e-08,3.1835316668766304e-06,0.21871996873170035,0.013493684830530374,0.023988773032054,0.2432852803070805,4.69541315382877e-06,1.1557940070963125e-05,True,True,True,True,True
Peptostreptococcus stomatis,C07044_Hydroxyurea,-0.1998685561671198,-0.186256389463144,0.035269208039982,0.0668231863659006,-0.1372537158828339,0.010590286435385432,0.011050733671706536,-0.1899360926958624,0.020335411403375907,0.033658611978001504,-0.020987359101349256,0.8148275407482135,0.8321642969343457,-0.04578602303164219,0.39586312982995076,0.4000301101439503,True,True,True,True,False
Peptostreptococcus stomatis,C00407_Ile,0.2408821960092202,0.2203170189394117,0.0105540875853746,0.0305068809743363,0.26952982703110717,3.5824447803912265e-07,7.164889560782452e-07,0.3227567728221084,5.955998060779692e-05,0.00043982754910373113,0.16815796519308607,0.05878642735980659,0.07425653982291358,0.2561054850919608,1.383658931206109e-06,3.795178782736756e-06,True,True,True,True,True
Peptostreptococcus stomatis,C00123_Leu,0.2201280315497104,0.219929233020687,0.0206686771269348,0.0305068809743363,0.25240164327090703,1.9828734937125927e-06,3.281997506834636e-06,0.28872678398730883,0.0003555673014186311,0.001424277212681729,0.18840896562010487,0.033896187642484525,0.04924055997288208,0.2544342046659345,1.628697623666334e-06,4.343193663110224e-06,True,True,True,True,True
Peptostreptococcus stomatis,C01042_N-Acetylaspartate,-0.1731217379411796,-0.310404284714449,0.0718459857687718,0.0022255893500461,-0.23728726888537988,8.130838787286956e-06,1.2589685864186255e-05,-0.2450564448474866,0.0025938747412312733,0.007545817429036431,-0.17111448219877443,0.05441634348634109,0.0696529196625166,-0.1314848552852227,0.014383356700032478,0.016839051746379487,True,True,True,True,True
Peptostreptococcus stomatis,C00624_N-Acetylglutamate,-0.2950551759343765,-0.2812453968691802,0.001050546623571,0.0052913572912233,-0.43922281058133106,9.451884868972385e-18,3.024603158071163e-16,-0.23808279861730006,0.0034572056801699,0.009482621294180297,-0.19203977740249853,0.03054467538166752,0.04654426724825527,-0.2388902337091708,7.0309239204274825e-06,1.607068324669139e-05,True,True,True,True,True
Peptostreptococcus stomatis,C02997_N-Acetylhistidine,-0.2117086274308206,-0.1929068765877654,0.0267070787147599,0.0593444764835273,-0.01205177440431697,0.8232453396797099,0.8232453396797098,-0.04449279354748645,0.5900270916718123,0.6156804434836303,-0.012608123717551538,0.8881171663792475,0.8881171663792475,-0.0719674395756636,0.18169319210531173,0.1855590047032971,True,True,True,True,False
Peptostreptococcus stomatis,C02721_N-Methylalanine,-0.193704908633688,-0.3449923061699921,0.0424804312854263,0.0009522195592517,-0.25778729917145216,1.172930251552954e-06,2.0852093360941405e-06,-0.26369208592706544,0.001156600749537378,0.0035817313534060734,-0.25063888665815426,0.004481155778717696,0.010242641779926162,-0.2563712732146016,1.3481002652831532e-06,3.795178782736756e-06,True,True,True,True,True
Peptostreptococcus stomatis,C01046_N-Methylglutamate,-0.2564650914927901,-0.2517386034121768,0.006061373063166,0.0135211410561369,-0.30537853670813386,6.674494212885241e-09,1.88456307187348e-08,-0.29005229920692743,0.0003330017159869373,0.001424277212681729,-0.1978540818682979,0.02576424263495288,0.040547004802548796,-0.2338826593126407,1.1034360270649511e-05,2.4074967863235297e-05,True,True,True,True,True
Peptostreptococcus stomatis,C00803_Valerate,-0.1993473619795818,-0.2443988490000632,0.0356781486336179,0.0161143209235156,-0.20596490454318148,0.00011396541270084813,0.00014026512332412076,-0.2114734510640685,0.009626307572037236,0.018859704630930094,-0.2193765303703721,0.013209578670124188,0.023988773032054,-0.13122912144117474,0.014576155295650909,0.01685916757087334,True,True,True,True,True
Peptostreptococcus stomatis,C00079_Phe,0.196736186345974,0.2721669463585174,0.0392360399383703,0.0063643399674209,0.33223422121422086,2.3202147468701504e-10,8.566946757674401e-10,0.31451933694615913,9.365196720803255e-05,0.0005619118032481953,0.22598844409074278,0.010627353083061626,0.020404517919478324,0.29541945476044523,2.1345493201507522e-08,1.7076394561206018e-07,True,True,True,True,True
Peptostreptococcus stomatis,C02656_Pimelate,-0.3419838060259007,-0.2132174516660445,9.8344304208327e-05,0.0369309698629912,-0.3684389391370558,1.450563294578124e-12,9.283605085299993e-12,-0.23172259168499282,0.00446179580634532,0.011898122150254186,-0.37748354614990853,1.2146346598991922e-05,6.85911337354838e-05,-0.20703079336174196,0.00010481403763685387,0.00019350283871419176,True,True,True,True,True
