feature,clr_p_discovery,clr_rank_biserial_discovery,clr_p_validation,clr_rank_biserial_validation,clr_q_validation_candidates,clr_heldout_reproduced
Peptostreptococcus stomatis,0.0007914094091273593,0.30366646954464804,0.014364265472071501,0.26968820315011244,0.023357063435147405,True
Parvimonas unclassified,0.0019088627052599619,0.2808988764044944,0.013680301009161568,0.27161684345869497,0.023357063435147405,True
Gemella morbillorum,0.06217442675007498,0.16883500887049085,0.015571375623431603,0.26647380263580844,0.023357063435147405,True
Fusobacterium nucleatum,0.06886846562685918,0.1646954464813719,0.008858787741506126,0.2883317261330762,0.023357063435147405,True
Solobacterium moorei,0.022019043535745093,0.2072738024837375,0.048960598700365954,0.2169720347155255,0.058752718440439146,False
Actinomyces odontolyticus,0.07191326775194158,0.1629213483146068,0.18282792048308272,-0.1468981035036966,0.18282792048308272,False
