family,feature,prevalence_discovery,n_case_discovery,n_control_discovery,p_discovery,rank_biserial_discovery,log2_median_ratio_discovery,n_case_validation,n_control_validation,p_validation,rank_biserial_validation,log2_median_ratio_validation,n_case_all_descriptive,n_control_all_descriptive,p_all_descriptive,rank_biserial_all_descriptive,log2_median_ratio_all_descriptive,q_discovery_family,discovery_candidate,q_validation_candidates,q_all_descriptive,heldout_reproduced,rank_biserial_discovery_ci_low,rank_biserial_discovery_ci_high,rank_biserial_validation_ci_low,rank_biserial_validation_ci_high
fecal_metabolite,C02155_Gly-Leu,0.8848484848484849,89,76,6.25831454290379e-05,0.3619160260201064,0.6223569547879556,61,51,0.3148793290508086,0.1108968177434908,0.25243607016856,150,127,0.0003267541212609897,0.2505511811023622,0.5132023872958156,0.018712360483282335,True,0.5510388258389151,0.009769948225703592,False,0.19631505026611482,0.5152535481963335,-0.10931372549019609,0.3224284795885565
fecal_metabolite,C00327_Citrulline,1.0,89,76,0.000573071870697646,0.3116499112950917,0.7147341701409728,61,51,0.056823406345159345,0.20990035358405668,0.42390412934307276,150,127,0.00010131685496559682,0.27118110236220483,0.5428319745327774,0.045284253200472004,True,0.14590828072641093,0.007034365195518957,False,0.14339887640449447,0.48495712596096957,-0.0016393442622950375,0.420138219222115
fecal_metabolite,C00123_Leu,1.0,89,76,0.0010121416710317146,0.29745712596096974,1.6064028204968217,61,51,0.06235415392817102,0.20540019286403077,1.5925764493678112,150,127,0.00014115783001041385,0.2655118110236221,1.5804399377460299,0.045284253200472004,True,0.14590828072641093,0.007034365195518957,False,0.130972797161443,0.4594988172678888,-0.0054966248794599834,0.4079234972677594
fecal_metabolite,C01046_N-Methylglutamate,0.593939393939394,89,76,0.0005126181115083571,-0.30366646954464815,-23.540961193815996,61,51,0.06253212031131897,-0.2012214721954355,-0.7148349754413631,150,127,0.000126223345665585,-0.26005249343832026,-1.3721131115625496,0.045284253200472004,True,0.14590828072641093,0.007034365195518957,False,-0.4651204908338262,-0.14074512123004135,-0.39476856316297015,0.004299260687881004
fecal_metabolite,C03795_N6-Methyl-2'-deoxyadenosine,0.4303030303030303,89,76,0.0007339971248436298,-0.2758722649319929,-23.245299731319193,61,51,0.5633024261864534,0.0504660880745742,0.0,150,127,0.015136550366353963,-0.1465616797900262,0.0,0.045284253200472004,True,0.7215450017624566,0.08381163999147842,False,-0.41751182732111175,-0.12684801892371378,-0.11545323047251692,0.22341690774670514
fecal_metabolite,C00255_Riboflavin,0.509090909090909,89,76,0.0009125923317708751,-0.28178592548787695,-25.44495376770805,61,51,0.6768632524131164,-0.04210864673738346,0.0,150,127,0.004502034705281922,-0.1840419947506562,-23.461404213780202,0.045284253200472004,True,0.7215450017624566,0.04681865132408361,False,-0.43941454760496745,-0.11691676522767606,-0.23887817422050786,0.15782706525233037
fecal_metabolite,C00073_Met,1.0,89,76,0.0010601664628873044,0.2962743938497929,0.7256834014464701,61,51,0.7215450017624566,0.03953712632594031,0.23060190441538805,150,127,0.004867888389966202,0.19643044619422567,0.4672431958539625,0.045284253200472004,True,0.7215450017624566,0.04851662095332981,False,0.12001034890597291,0.4600827912477823,-0.18034394085503053,0.2562037929926068
fecal_metabolite,C00263_Homoserine,0.9454545454545454,89,76,0.0013629301300790405,-0.2897693672383205,-0.4272500653031563,61,51,0.7858652162795742,-0.030215364834458414,-0.03849588117097775,150,127,0.0059402333145573815,-0.19191601049868767,-0.31073359864599104,0.05093951361170414,False,,0.055359670784148274,False,,,,
fecal_metabolite,C00785_Urocanate,0.6545454545454545,89,76,0.0017679872095817102,0.2770549970431697,0.7382030132825292,61,51,0.21712395817019647,0.13404050144648028,0.20984731329177578,150,127,0.0013892082193226768,0.2188976377952756,0.49334340066237403,0.05873646396277015,False,,0.025960828598592525,False,,,,
fecal_metabolite,C00122_Fumarate,0.3575757575757576,89,76,0.002008613518963841,0.23965109402720275,0.0,61,51,0.23516459758601083,0.09964641594342649,0.0,150,127,0.001800332915253197,0.17921259842519688,0.0,0.060057544217018845,False,,0.029055920458224315,False,,,,
