family,feature,prevalence_discovery,n_case_discovery,n_control_discovery,p_discovery,rank_biserial_discovery,log2_median_ratio_discovery,n_case_validation,n_control_validation,p_validation,rank_biserial_validation,log2_median_ratio_validation,n_case_all_descriptive,n_control_all_descriptive,p_all_descriptive,rank_biserial_all_descriptive,log2_median_ratio_all_descriptive,q_discovery_family,discovery_candidate,q_validation_candidates,q_all_descriptive,heldout_reproduced,rank_biserial_discovery_ci_low,rank_biserial_discovery_ci_high,rank_biserial_validation_ci_low,rank_biserial_validation_ci_high
microbial_species,Peptostreptococcus stomatis,0.34545454545454546,89,76,1.8457349962030452e-07,0.40020697811945594,8.848622940429339,61,51,0.0027636554523368505,0.25072324011571845,0.0,150,127,3.0230096174825183e-09,0.3378477690288715,0.0,4.042159641684669e-05,True,0.005527310904673701,6.620391062286715e-07,True,0.2631505026611472,0.5324142519219396,0.10122950819672132,0.3934506589521054
microbial_species,Parvimonas unclassified,0.40606060606060607,89,76,7.137669196099023e-06,0.361176818450621,10.980853606379736,61,51,0.004111008684787779,0.27290260366441665,0.0,150,127,1.1624342125803908e-07,0.32498687664042003,8.784634845557521,0.000781574776972843,True,0.006166513027181669,6.364327313877639e-06,True,0.2124445594322885,0.5062167356593731,0.09672131147540988,0.43846030215364834
microbial_species,Gemella morbillorum,0.24848484848484848,89,76,1.1976360944950891e-05,0.300561797752809,0.0,61,51,0.001088127550671061,0.23015107682417235,0.0,150,127,5.191847075256394e-08,0.27191601049868774,0.0,0.000874274348981415,True,0.0032643826520131827,5.028149029943528e-06,True,0.18302409816676515,0.4180994973388528,0.11282545805207334,0.3597155255544839
microbial_species,Fusobacterium nucleatum,0.28484848484848485,89,76,3.7335962486317996e-05,0.2971614429331757,0.0,61,51,0.0004214914422253291,0.28736740597878496,0.0,150,127,6.887875383484285e-08,0.29160104986876645,0.0,0.0020441439461259103,True,0.0025289486533519746,5.028149029943528e-06,True,0.1643628030751036,0.42312980484920154,0.14754098360655732,0.4316939890710383
microbial_species,Solobacterium moorei,0.5212121212121212,89,76,0.0005955999106194925,0.2931697220579539,12.073806847178492,61,51,0.04534114089756926,0.20990035358405668,10.869593843240784,150,127,6.343215407756987e-05,0.2641994750656167,11.874981347653774,0.021739396737611476,True,0.05440936907708312,0.0027783283485975606,False,0.13406638083973976,0.45137492607924284,0.011234329797492794,0.40502250080360014
microbial_species,Actinomyces odontolyticus,0.4303030303030303,89,76,0.0005741395284661199,0.2813424009461858,9.878050912728536,61,51,0.374686158924714,-0.08582449373191903,0.0,150,127,0.028185036089790314,0.13664041994750664,0.0,0.021739396737611476,True,0.3746861589247141,0.21284561736772684,False,0.12546570076877586,0.42594988172678877,-0.2806493089038894,0.10965927354548342
microbial_species,Parvimonas micra,0.20606060606060606,89,76,0.0020829215458306573,0.19692489651094025,0.0,61,51,0.019587222163931294,0.18161362905818068,0.0,150,127,0.00011283074695272056,0.1902887139107612,0.0,0.06516568836241628,False,,0.004118322263774301,False,,,,
microbial_species,Holdemania filiformis,0.5212121212121212,89,76,0.007286022949376548,0.2291543465405086,12.80996904717615,61,51,0.1440210988365093,0.1501125040180007,12.61677855400014,150,127,0.002783736269466498,0.19590551181102356,12.770250927394864,0.199454878239183,False,,0.087091177573309,False,,,,
microbial_species,Atopobium parvulum,0.4727272727272727,89,76,0.008600479812255566,0.2196924896510941,10.064742764750257,61,51,0.5908507533933522,0.051751848280295665,0.0,150,127,0.016805115346020888,0.1508661417322834,0.0,0.20927834209821877,False,,0.18401601303892873,False,,,,
microbial_species,Ruminococcus bromii,0.4909090909090909,89,76,0.014320006713527457,0.20653459491425186,17.870756022588566,61,51,0.04666206405092721,-0.20925747348119572,-18.1365155673613,150,127,0.4486414699158082,0.049816272965879316,-1.8077113278601749,0.23814201881656177,False,,0.7119017076011275,False,,,,
microbial_species,Odoribacter splanchnicus,0.5151515151515151,89,76,0.014695143212961606,0.2078651685393258,17.701516298172425,61,51,0.16334566735385148,0.14754098360655732,0.9120633048070005,150,127,0.0073195337026369725,0.17763779527559054,18.056801744616788,0.23814201881656177,False,,0.1602977880877497,False,,,,
microbial_species,Roseburia inulinivorans,0.7151515151515152,89,76,0.013296657185173638,-0.22146658781785922,-3.0845412807671355,61,51,0.2754382424331536,0.11957569913211197,0.18321662063884342,150,127,0.2631686902332637,-0.0773753280839895,-1.487539727083013,0.23814201881656177,False,,0.5799196700544382,False,,,,
microbial_species,Parabacteroides goldsteinii,0.45454545454545453,89,76,0.015223690700602123,0.2010644589000592,11.841957399099547,61,51,0.4057834040718674,0.07810993249758913,0.0,150,127,0.0147498953172729,0.15181102362204735,0.0,0.23814201881656177,False,,0.18229786046179072,False,,,,
microbial_species,Clostridium symbiosum,0.6,89,76,0.012700966513047453,0.21821407451212305,5.793163095586261,61,51,0.7841523488108416,-0.02925104468016715,-0.42007915726090517,150,127,0.07637207499712403,0.11926509186351697,2.8978052683216786,0.23814201881656177,False,,0.2800531359647161,False,,,,
microbial_species,Clostridium innocuum,0.16363636363636364,89,76,0.023300187584614506,0.13231815493790666,0.0,61,51,0.16215084285605164,0.11411121825779502,0.0,150,127,0.009359894596703331,0.12446194225721774,0.0,0.24915219192292143,False,,0.18229786046179072,False,,,,
microbial_species,Anaerostipes hadrus,0.5818181818181818,89,76,0.01983710452845421,-0.20298639858072143,-4.145499700519387,61,51,0.18973860062376968,0.1391835422693668,3.7813062892790317,150,127,0.3668888008708795,-0.06062992125984257,-1.2444237481023077,0.24915219192292143,False,,0.6816812591386486,False,,,,
microbial_species,Alistipes indistinctus,0.3090909090909091,89,76,0.01938344126419698,0.17327025428740384,0.0,61,51,0.30031452586555674,0.09482481517197039,0.0,150,127,0.015177666622829173,0.13942257217847764,0.0,0.24915219192292143,False,,0.18229786046179072,False,,,,
microbial_species,Atopobium rimae,0.11515151515151516,89,76,0.021937847165347572,0.11502069781194568,0.0,61,51,0.5112677433125802,-0.03439408550305367,0.0,150,127,0.13418063954983742,0.05469816272965877,0.0,0.24915219192292143,False,,0.4025419186495123,False,,,,
