family,feature,prevalence_discovery,n_case_discovery,n_control_discovery,p_discovery,rank_biserial_discovery,log2_median_ratio_discovery,n_case_validation,n_control_validation,p_validation,rank_biserial_validation,log2_median_ratio_validation,n_case_all_descriptive,n_control_all_descriptive,p_all_descriptive,rank_biserial_all_descriptive,log2_median_ratio_all_descriptive,q_discovery_family,discovery_candidate,q_validation_candidates,q_all_descriptive,heldout_reproduced
microbial_KO,K06320,0.8242424242424242,89,76,4.087458649537231e-05,-0.3701951507983442,-1.2649657955580755,61,51,0.0046469635689350775,-0.3114754098360656,-1.1657836707269722,150,127,3.0809177338245746e-06,-0.32482939632545926,-1.2277835408971123,0.10273440881756025,False,,0.0044920746433817285,False
microbial_KO,K15856,0.896969696969697,89,76,5.31699534497301e-05,-0.36546422235363685,-1.1328863566726959,61,51,0.0065855873521639624,-0.29926068788171,-0.8642500503603178,150,127,1.1092186668739178e-06,-0.33968503937007877,-0.9927118250291199,0.10273440881756025,False,,0.0044920746433817285,False
microbial_KO,K17363,0.6848484848484848,89,76,0.00011990010754821271,0.3425487876995861,0.5940758506660287,61,51,0.10329940377216457,0.17325618772098994,0.5162451758733856,150,127,6.75031986845339e-05,0.2717585301837271,0.5911597212682558,0.10273440881756025,False,,0.031548540403380794,False
microbial_KO,K06894,0.9939393939393939,89,76,0.00010926542744574848,0.3500887049083383,0.5430314664153962,61,51,0.1626042781912831,0.15396978463516553,0.1784533015362597,150,127,0.00012042062919253362,0.26824146981627295,0.4699814856443808,0.10273440881756025,False,,0.0442201753342011,False
microbial_KO,K03457,0.9939393939393939,89,76,0.0001063724594849917,0.3506800709639266,0.5379483972117612,61,51,0.19261384677428162,0.14368370298939248,0.2271963158060879,150,127,0.00018687028656264135,0.2606299212598424,0.44975055204100045,0.10273440881756025,False,,0.0495864713352337,False
microbial_KO,K00335,1.0,89,76,0.00011223251185704001,0.3494973388527498,0.4860384996556285,61,51,0.5318717284244379,0.06910961105753777,0.05759805549773405,150,127,0.0005313576125735844,0.24167979002624662,0.3031828649167071,0.10273440881756025,False,,0.08345759935591752,False
microbial_KO,K06331,0.7272727272727273,89,76,0.00019108615270418025,-0.33412182140745117,-1.1896577886446922,61,51,0.0013784594577142017,-0.3513339762134362,-1.2803253511918464,150,127,2.3900092722771536e-06,-0.3269291338582677,-1.3235021524860182,0.12279673888152383,False,,0.0044920746433817285,False
microbial_KO,K00556,0.9151515151515152,89,76,0.00017738588014817926,0.3391484328799528,1.1777930591387211,61,51,0.5570155208662566,0.06493089038894251,0.3321907072664345,150,127,0.001062909239238778,0.22829396325459328,0.5862483201235417,0.12279673888152383,False,,0.12203473194863311,False
microbial_KO,K01844,0.9878787878787879,89,76,0.0002540119222609199,0.331017149615612,0.6749117540324612,61,51,0.018978472649454663,0.2584378013500481,0.4768255126530983,150,127,1.5218097673489035e-05,0.3017322834645668,0.5763559833455629,0.14509725470482102,False,,0.011176605734201017,False
microbial_KO,K04757,0.8242424242424242,89,76,0.00039229874342355624,0.31992903607332934,0.7405519975477852,61,51,0.004421515919033195,0.31276117004178716,1.0022521993393616,150,127,3.495097952446395e-06,0.32278215223097106,0.9203998575274615,0.15313647871991135,False,,0.0044920746433817285,False
microbial_KO,K03182,1.0,89,76,0.0003292085498686157,0.32495564754583084,0.5318990762563489,61,51,0.4759760921619136,-0.07875281260044997,-0.1436406614893295,150,127,0.023996501196822773,0.15748031496062986,0.3258882399566983,0.15313647871991135,False,,0.34173410707165064,False
microbial_KO,K03179,0.9515151515151515,89,76,0.0003990859101789191,0.32037256061502073,1.0250912554672862,61,51,0.6071511319068563,0.05689488910318219,0.43497602326655177,150,127,0.002480523330484218,0.21107611548556426,0.8389601184977171,0.15313647871991135,False,,0.14369933444420357,False
microbial_KO,K03820,0.9878787878787879,89,76,0.0003150439091315017,0.3259905381431105,0.6869389637917578,61,51,0.8061555493999292,-0.02732240437158473,0.1607003084550983,150,127,0.01127152807372289,0.1767979002624671,0.45634128976286537,0.15313647871991135,False,,0.24120361848951263,False
microbial_KO,K03760,0.9757575757575757,89,76,0.0004170221167241312,0.31933767001774105,0.7899282327822029,61,51,0.981355020193295,0.0028929604628735728,0.33233346962306776,150,127,0.006571511339495731,0.18960629921259842,0.45590613636267036,0.15313647871991135,False,,0.20415313110847988,False
microbial_KO,K05967,0.8303030303030303,89,76,0.0005038488285572047,-0.3140153755174453,-0.8147762857915974,61,51,0.07548384374710929,-0.19575699132111857,-0.2961000286474874,150,127,0.00013271792564784114,-0.2661417322834646,-0.6800568211326565,0.16189292672578684,False,,0.04548685705037008,False
microbial_KO,K03098,0.9515151515151515,89,76,0.0005010304915236919,0.31490242460082785,0.7025015397158485,61,51,0.48321922889868685,0.07746705239472829,0.20864679450332754,150,127,0.001923391525560068,0.21637795275590554,0.621374513544814,0.16189292672578684,False,,0.13289958000862417,False
microbial_KO,K04748,0.5272727272727272,89,76,0.0007004514065779982,0.2900650502661146,0.9370930493925862,61,51,0.02628232900000832,0.2356155576984893,1.0898136774190412,150,127,5.643758197035942e-05,0.26771653543307083,1.0010868081831519,0.2000567045120827,False,,0.031548540403380794,False
microbial_KO,K01034,0.9878787878787879,89,76,0.0006781019508890151,0.30751034890597273,0.5993341718492394,61,51,0.24734504071644947,0.12761170041787206,0.16419514964190476,150,127,0.0006526472237784227,0.23779527559055125,0.5099182271225596,0.2000567045120827,False,,0.08829629940644397,False
microbial_KO,K05367,1.0,89,76,0.001023955356939076,0.2971614429331757,0.6122658644059807,61,51,0.05241349099123596,0.2137576342012215,0.3776210602058226,150,127,0.00020255123478698847,0.25921259842519695,0.5875461653618629,0.22312633972008544,False,,0.0495864713352337,False
microbial_KO,K00023,0.2606060606060606,89,76,0.0010138964565813734,0.22959787108219998,0.0,61,51,0.12186986123641268,0.12439729990356807,0.0,150,127,0.00039629525773474946,0.18666666666666676,0.0,0.22312633972008544,False,,0.07835976615439796,False
microbial_KO,K01250,0.9636363636363636,89,76,0.0010416323970593368,0.2967179183914843,0.8467735239124844,61,51,0.2570041760035515,0.1250401800064287,0.42272997618914837,150,127,0.0011631398298936049,0.22656167979002628,0.7004496513748713,0.22312633972008544,False,,0.12203473194863311,False
microbial_KO,K00412,0.46060606060606063,89,76,0.0008998975357526171,0.2758722649319929,0.7806749306271108,61,51,0.7412548215133501,-0.03342976534876241,-0.49126746312231007,150,127,0.019415882682030212,0.14929133858267707,0.30771257431042726,0.22312633972008544,False,,0.30909136567356116,False
microbial_KO,K07397,0.9575757575757575,89,76,0.0009325009926038054,0.2995269071555293,0.662735528248642,61,51,0.7813645716196498,0.030858244937319146,0.25124205191676924,150,127,0.007289504102809158,0.18719160104986887,0.5149910160083144,0.22312633972008544,False,,0.2092216286427175,False
microbial_KO,K02558,1.0,89,76,0.0008798833385959476,0.3010053222945004,0.5039449074860506,61,51,0.783624187822027,-0.030536804885888835,0.0175205744633656,150,127,0.019519380280481828,0.1629396325459318,0.2787299218710969,0.22312633972008544,False,,0.30909136567356116,False
microbial_KO,K04654,1.0,89,76,0.0012033176062011652,0.29302188054405676,0.3844668530624517,61,51,0.24496558513079547,-0.1282545805207329,-0.20639190060206455,150,127,0.06040145674934935,0.13102362204724405,0.23707566756578913,0.22912058568445148,False,,0.47772906022831546,False
microbial_KO,K01058,0.9878787878787879,89,76,0.0011692886986742381,0.2937610881135422,0.5441859146529305,61,51,0.30381102748914735,0.11346833815493418,0.316754745029651,150,127,0.0025246039615984235,0.2107086614173228,0.4409234396298323,0.22912058568445148,False,,0.14369933444420357,False
microbial_KO,K03186,1.0,89,76,0.0011626011741819342,0.2939089296274393,0.4003611911066093,61,51,0.3121319225657524,-0.11153969784635165,-0.1524203572701763,150,127,0.0758167119773698,0.12388451443569548,0.19844015512117777,0.22912058568445148,False,,0.529583853635405,False
microbial_KO,K07485,0.4121212121212121,89,76,0.0012776500112013885,0.2602010644589001,0.2256118649761668,61,51,0.7644619008754614,0.02989392478302788,0.0,150,127,0.006256399830372073,0.17060367454068248,0.0,0.2345856681280835,False,,0.200165856725421,False
microbial_KO,K00140,0.9515151515151515,89,76,0.001394568261224968,0.28917800118273207,0.6133894792565608,61,51,0.35592377100539774,0.10189649630343944,0.22094662741210608,150,127,0.0019039218356916815,0.21658792650918635,0.35566801843116497,0.24722329072267452,False,,0.13289958000862417,False
microbial_KO,K09859,0.6,89,76,0.0015626702797220092,0.2769071555292726,1.4846824751273722,61,51,0.07922108331837872,0.18964963034394078,0.44486734039202736,150,127,0.00034561475751400476,0.24293963254593165,0.7716978534175579,0.25915122284034997,False,,0.07402839855444955,False
microbial_KO,K00281,1.0,89,76,0.0015620483746902752,0.28622117090479016,0.22799407128333002,61,51,0.6654887507717345,-0.04789456766313083,-0.1567903162345426,150,127,0.02834647389267109,0.15296587926509186,0.08737470693607734,0.25915122284034997,False,,0.35979688865601883,False
microbial_KO,K02117,1.0,89,76,0.0017468100319365392,0.283264340626848,0.26447461755851465,61,51,0.3149372084296712,0.1108968177434908,0.10568712640294596,150,127,0.001914665321483771,0.21648293963254583,0.2137303023950935,0.2641279521819338,False,,0.13289958000862417,False
microbial_KO,K01305,0.9939393939393939,89,76,0.0016520540766713015,0.2847427557658191,0.3342432349192194,61,51,0.6570189172613463,0.049180327868852514,0.03545245136528303,150,127,0.006221595967907657,0.19086614173228345,0.2651053285370818,0.2641279521819338,False,,0.200165856725421,False
microbial_KO,K01251,1.0,89,76,0.0017083234792268842,0.28385570668243654,0.3310893245248605,61,51,0.9487569160284467,0.007393121182899476,0.029291855286199205,150,127,0.013362940822958,0.17259842519685042,0.21493616166316704,0.2641279521819338,False,,0.2544442630169757,False
microbial_KO,K04656,1.0,89,76,0.001806036561406838,0.28237729154346547,0.39080983681989484,61,51,0.3350366824460774,-0.10639665702346512,-0.36160785489443753,150,127,0.07757136341925895,0.12314960629921257,0.21343470746172577,0.2652809703483587,False,,0.5331745538490464,False
microbial_KO,K07722,0.9939393939393939,89,76,0.001867103616395349,0.2814902424600827,0.45407580454568675,61,51,0.2823628100870892,0.1186113789778207,0.3137201354322719,150,127,0.0028498224385167907,0.2081364829396326,0.3393067188237697,0.2666327692191247,False,,0.1510405892413899,False
microbial_KO,K18012,0.9454545454545454,89,76,0.0019498439327294854,0.2803075103489059,0.652707605130709,61,51,0.043818216877732144,0.22211507553841203,0.31273676758568925,150,127,0.00018060247557168653,0.2612073490813649,0.5129907552840476,0.2709229096800618,False,,0.0495864713352337,False
microbial_KO,K03568,1.0,89,76,0.0020618654322863282,0.27882909520993504,0.4703565440758971,61,51,0.18669712155146778,-0.1456123432979749,-0.13937513161736106,150,127,0.11141926145892368,0.1110761154855644,0.29240773355379857,0.27179615865087214,False,,0.5892797552046521,False
microbial_KO,K00254,1.0,89,76,0.0020618654322863282,0.27882909520993504,0.6406283511849185,61,51,0.8288522508567621,0.024108003857280513,-0.08895254634909334,150,127,0.012810288789884125,0.17364829396325465,0.347729265080958,0.27179615865087214,False,,0.2498084807519457,False
microbial_KO,K03781,1.0,89,76,0.0022751071108949488,0.27616794795978716,0.4568155037868038,61,51,0.756823777528597,-0.03439408550305367,0.11248132804679742,150,127,0.03082369965751838,0.1506561679790026,0.30949133200489043,0.29240814142777327,False,,0.37729676176024285,False
microbial_KO,K18011,0.9454545454545454,89,76,0.0023742946688941778,0.27498521584861035,0.7891263929347331,61,51,0.04474315448682844,0.22115075538412077,0.4181392339287635,150,127,0.00020111458984046113,0.25931758530183724,0.6133008393511057,0.29771338762890165,False,,0.0495864713352337,False
microbial_KO,K00605,1.0,89,76,0.0025356068681206285,0.27321111768184503,0.20214146629822857,61,51,0.4302626058058143,0.08711025393764071,0.07752062608959397,150,127,0.004225637763205832,0.19958005249343835,0.1266561169471525,0.31037035497638454,False,,0.1766179165905787,False
microbial_KO,K20530,0.7393939393939394,89,76,0.0033111126683746644,0.2634535777646363,0.6429849671336215,61,51,0.03538854847781705,0.22725811636129856,0.5536255446891081,150,127,0.00033148766517349207,0.24724409448818907,0.7183830113964286,0.31937143501109905,False,,0.07402839855444955,False
microbial_KO,K20882,0.509090909090909,89,76,0.0033926584542778495,0.24896510940272032,0.7603244353639151,61,51,0.04510864146309807,0.2073288331726133,0.5928023385008551,150,127,0.00042684433979779825,0.23076115485564297,0.652379595373817,0.31937143501109905,False,,0.07837166967501717,False
