,Peptostreptococcus stomatis,Gemella morbillorum,Fusobacterium nucleatum,Parvimonas unclassified
Peptostreptococcus stomatis,1.0,0.6006244793483433,0.5164088245472609,0.6784936778804035
Gemella morbillorum,0.6006244793483433,1.0,0.39239297422682357,0.4904546438693623
Fusobacterium nucleatum,0.5164088245472609,0.39239297422682357,1.0,0.537850743959842
Parvimonas unclassified,0.6784936778804035,0.4904546438693623,0.537850743959842,1.0
