pseudocount,genus,PRJNA784025_discovery_estimate,PRJNA784025_discovery_se,PRJNA784025_discovery_p,PRJNA784025_discovery_hcc_n,PRJNA784025_discovery_cirrhosis_n,PRJNA784025_validation_estimate,PRJNA784025_validation_se,PRJNA784025_validation_p,PRJNA784025_validation_hcc_n,PRJNA784025_validation_cirrhosis_n,PRJEB54571_external_estimate,PRJEB54571_external_se,PRJEB54571_external_p,PRJEB54571_external_hcc_n,PRJEB54571_external_cirrhosis_n,age_adjusted_estimate,age_adjusted_se_hc3,age_adjusted_p_hc3,age_adjusted_n,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent,three_cohort_direction_concordant,discovery_q,selected_in_discovery_q_lt_0_10,locked_validation_pass,external_age_adjusted_pass
0.1,Adlercreutzia,-1.0542828329878897,0.29576890204680695,0.0006611025665771011,30,59,-1.0042386383332242,0.3516684599656637,0.00590145451792409,25,40,0.8552293203619641,0.35083899771166266,0.020979300348458036,95,10,1.0700539191518494,0.4219245031451649,0.011208623276646254,104,-0.40793959611848285,0.6133339779781184,-1.6100741929555948,0.7941950007186291,0.5059748898007335,0.6268023446615858,-3.104852415356597,2.288973223119631,0.5819415542460923,2,1.044400750408281,1.0173795483955828,20.476466833592855,3.577599512141371e-05,90.23268996427215,False,0.03799267291342575,True,True,False
0.1,Agathobacter,-0.4399415846708177,0.20367807109353778,0.033702612662134805,30,59,0.33569050065281214,0.21794752532044265,0.12885195703098248,25,40,0.2657530251368234,1.176874015541395,0.8253953382149831,95,10,0.43887594917715456,1.2680850551991438,0.7292724753711737,104,-0.033268186500650054,0.34058439616721925,-0.7008136029883998,0.6342772299870996,0.9221866241846303,0.34058439616721925,-1.4986845683614483,1.432148195360148,0.9310941793293694,2,0.6312489836247106,0.20578561061391876,6.844823763133755,0.03263363149067605,70.78084010326158,False,0.6395361428409445,False,False,False
0.1,Alistipes,0.07274009579789276,0.26345598715391555,0.7831800987908878,30,59,-0.22556135198705007,0.2538791220273695,0.3779382259137565,25,40,2.399511599457676,1.3685509588521958,0.109181967409803,95,10,1.7623572245537564,1.546711199985687,0.2545270614590227,104,0.032845787783745646,0.2991323052927877,-0.5534535305901183,0.6191451061576096,0.9125651789117157,0.37714925517561865,-1.5898964845004968,1.655588060067988,0.9385347715544811,2,1.5896439916966867,0.12047191635738581,3.8947553716773333,0.1426476485031688,48.64889295630727,False,0.28990663612471457,False,False,False
0.1,Allisonella,0.8117771286609563,0.3740291190804242,0.03424013452562355,30,59,0.8879279103043354,0.41630522200969755,0.03764020740697005,25,40,-0.6527334713372923,0.7525332819753788,0.40502271394900047,95,10,-0.4559222910972667,0.7280702892575738,0.531179555237526,104,0.5750587085512779,0.36657526703220966,-0.143428814831853,1.2935462319344089,0.116710172094799,0.41000080617179513,-1.1890323793014153,2.339149796403971,0.2958197641753032,2,1.2509590752353659,0.17272600271022573,3.5069638594140997,0.17316992697613606,42.97061275293167,False,0.013503784862428704,True,True,False
0.1,Anaerostipes,-0.8190363245318051,0.18070970313525725,1.8654060599568696e-05,30,59,-1.4006797855468869,0.2856903756009603,1.2562134102161695e-05,25,40,-0.8470519673518787,1.4102733331886308,0.5607183760620287,95,10,-0.30839377375938787,1.3694057751752082,0.821821648297169,104,-1.0402737561718896,0.22594671741180375,-1.483129322299025,-0.5974181900447542,4.1431968271184745e-06,0.22594671741180375,-2.0124440166096695,-0.06810349573410934,0.04407973491983882,2,0.7771256729507962,0.05302516336018391,2.969974203517394,0.22650526217715555,32.65934776028143,True,0.009255981898218218,True,True,False
0.1,Anaerotruncus,-0.4291095975360455,0.3893015254836451,0.27473741557954223,30,59,1.225332974640491,0.450104899623487,0.008529951368817137,25,40,0.8104181490765301,0.4192446504429081,0.06445236057944026,95,10,0.768225249216324,0.46516110303483665,0.09863139458908256,104,0.5174218003102711,0.5075855196569025,-0.47744581821725773,1.5122894188378,0.3080232767837686,0.5075855196569025,-1.666542421395735,2.701386022016277,0.41526287329462164,2,0.9675366388541236,0.5968514990554855,8.80526672007792,0.012245051778570088,77.28632120320029,False,0.8106639355503316,False,False,False
0.1,Bacteroides,-0.04148736391714003,0.23105307841742756,0.8579223582323301,30,59,-0.13384483159744054,0.23407369037269848,0.5697783481461481,25,40,-0.6490526276911481,0.3922029084369502,0.11637373873438946,95,10,-0.7452995630239039,0.525257696146635,0.15592183402579118,104,-0.1710848084946037,0.15164752795977254,-0.4683139632957579,0.1261443463065505,0.2592464133994533,0.15164752795977254,-0.823571458622391,0.48140184163318356,0.3763830315598695,2,0.9125436695343915,0.0,1.825087339068783,0.4015016365417984,0.0,True,0.37291602257525064,False,False,False
0.1,Barnesiella,0.4029038426185505,0.3694165493412151,0.2787932396289648,30,59,0.7269172684088877,0.41881627185528114,0.08757546681572449,25,40,1.0482562137252351,1.3276401856493976,0.44620420592065235,95,10,0.48412702749974124,1.6160489762613834,0.7645017546079956,104,0.5656966188798448,0.27120243243566,0.03413985130595121,1.0972533864537384,0.03698919733490248,0.27120243243566,-0.6011932673396813,1.7325865050993707,0.1723017139979814,2,0.2372440133694666,0.0,0.4744880267389332,0.7887987870822969,0.0,True,0.13487561143461368,False,False,False
0.1,Bifidobacterium,-1.9236601874962487,0.30412732581510393,1.5474480709662088e-08,30,59,-2.2814516206654987,0.3785248377565882,1.7215121231621e-07,25,40,-1.9848943085496429,0.8912553986258013,0.043893788584367814,95,10,-1.6239367430203724,0.9462343964098082,0.08612365041347114,104,-2.0587913207097346,0.22911578030078844,-2.50785825009928,-1.6097243913201893,2.5683081131257356e-19,0.22911578030078844,-3.0445969582373835,-1.0729856831820856,0.012159273105311631,2,0.2751575693058999,0.0,0.5503151386117998,0.7594524474015969,0.0,True,2.954460344257145e-06,True,True,False
0.1,Bilophila,1.6784029734575503,0.33658583451220747,3.5892409987649162e-06,30,59,1.8137904145859345,0.34849725773777823,2.2614465198438353e-06,25,40,0.23966795666146112,0.909098861149388,0.7967908035344492,95,10,0.24586829160874824,0.9936326978921699,0.8045647483730325,104,1.6066016558860063,0.2853999471130211,1.047217759544485,2.1659855522275278,1.809434248289961e-08,0.3104324724670115,0.2709185308394968,2.942284780932516,0.03536641631296873,2,1.183113775790702,0.06206993188962348,2.634075767127532,0.26792776093293913,24.07203980388892,True,3.5359387503300575e-06,True,True,False
0.1,Blautia,-1.5728253292276344,0.23169344719620233,1.4339029789022327e-09,30,59,-1.3323499329682402,0.21702777138040832,9.709639036378416e-08,25,40,1.1966915480883094,1.0581494403733336,0.28452457317978375,95,10,1.2287923273593897,1.1747113430876404,0.29554363628958824,104,-1.2080125701548576,0.35080897085775137,-1.8955981530360502,-0.520426987273665,0.0005742252195527734,0.5466939553685607,-3.560246809529776,1.1442216692200606,0.15773301900505887,2,2.428550635325684,0.22066648056518748,6.6685978641385795,0.035639563209893504,70.00868787192415,False,2.841513117307129e-07,True,True,False
0.1,Butyricicoccus,-0.8379254120554327,0.38533588469152585,0.03340802897400082,30,59,-0.7329751147077221,0.6034149541093755,0.22951769198181043,25,40,0.7493415357821485,1.1458070968669798,0.5275235616654349,95,10,0.7602903010439845,1.2478935312836121,0.5423528125837374,104,-0.6917513559378745,0.3124564072127206,-1.3041659140748068,-0.07933679780094216,0.02683475237793543,0.3124564072127206,-2.036142769342736,0.6526400574669871,0.15726385430198953,2,0.8652008386051449,0.0,1.7304016772102897,0.42096699771202717,0.0,False,0.242538515008335,False,False,False
0.1,Butyricimonas,0.013213282956313965,0.3391067269508195,0.9690177739441872,30,59,0.02439392191930123,0.4461979369534399,0.9565790389279747,25,40,1.0459343072723326,1.1431507318263467,0.3798037364112459,95,10,0.876321466439365,1.2247077845753411,0.4742784301272518,104,0.0716514766485082,0.26275630130544925,-0.4433508739101723,0.5866538272071887,0.7850901740054359,0.26275630130544925,-1.058897640408245,1.2022005937052613,0.8106654561910724,2,0.3836467675495904,0.0,0.7672935350991807,0.6813720674010864,0.0,True,0.4719928352563668,False,False,False
