genus,PRJNA784025_discovery_estimate,PRJNA784025_discovery_se,PRJNA784025_discovery_p,PRJNA784025_discovery_hcc_n,PRJNA784025_discovery_cirrhosis_n,PRJNA784025_validation_estimate,PRJNA784025_validation_se,PRJNA784025_validation_p,PRJNA784025_validation_hcc_n,PRJNA784025_validation_cirrhosis_n,PRJEB54571_external_estimate,PRJEB54571_external_se,PRJEB54571_external_p,PRJEB54571_external_hcc_n,PRJEB54571_external_cirrhosis_n,age_adjusted_estimate,age_adjusted_se_hc3,age_adjusted_p_hc3,age_adjusted_n,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent,three_cohort_direction_concordant,selected_in_discovery_q_lt_0_10,locked_validation_pass,external_age_adjusted_pass
Lachnospiraceae NC2004 group,0.7628871774593605,0.18397513551191153,7.836492187768949e-05,30,59,-0.4389626782746779,0.20874982319567764,0.04209712240629881,25,40,-0.6080305813334259,0.5688906517773579,0.3097014271851793,95,10,-0.6593590284558439,0.6123105465897246,0.28155281768115026,104,-0.033953322034019844,0.49408203213382335,-1.0023541050163136,0.9344474609482739,0.9452124904282808,0.49408203213382335,-2.159816726288432,2.091910082220392,0.9514648824043836,2,0.7838277529258262,0.6199528985074078,20.74255341586701,3.1319278987703026e-05,90.35798553870373,False,True,False,False
Lachnospiraceae ND3007 group,1.4582226286954758,0.21374467653745036,1.570612808736418e-09,30,59,2.465986028172803,0.270529267178761,5.286087947517943e-13,25,40,0.8026712146508681,0.750131194132826,0.30588949606733207,95,10,0.6934156446269806,0.8214342688280214,0.3985842937029831,104,1.7212684510153355,0.4437483686528122,0.8515216484558237,2.5910152535748474,0.00010491733487300285,0.453737163038393,-0.23100499209638947,3.6735418941270606,0.06299348302923843,2,1.0455267858515473,0.431981444410898,10.384245623573856,0.0055601910389478405,80.7400549592193,True,True,True,False
Lachnospiraceae NK4A136 group,0.891766811485116,0.20111351171258054,2.6931161634458452e-05,30,59,0.6403484167099127,0.2865676801081546,0.030833119655744066,25,40,-0.0841006423051639,0.9107299717063931,0.9279789517680951,95,10,-0.28078209520262426,0.994963960880381,0.7777876419092872,104,0.7805499050459853,0.16199409330846393,0.463041482161396,1.0980583279305747,1.4472492177154004e-06,0.16199409330846393,0.08354557727767153,1.477554232814299,0.04047516884262653,2,0.7232712557626463,0.0,1.4465425115252926,0.48516256639587585,0.0,False,True,True,False
Lachnospiraceae UCG-004,1.0713862207424674,0.1891668630676067,1.884526929843102e-07,30,59,1.726738631639455,0.21602547427181418,2.9239778218991624e-10,25,40,-2.011789126954509,0.5902878303518431,0.004330825833912505,95,10,-1.7631291123678743,0.6308507537933828,0.005192484919784553,104,0.42232859686509405,0.6651599450985682,-0.8813848955280996,1.7260420892582877,0.5254754497436865,1.1069415050828066,-4.3404562915934,5.185113485323587,0.739531529069967,2,2.7694731938569,1.1982232020343069,35.968246841577894,1.5473709401476054e-08,94.43953993974463,False,True,True,False
Lachnospiraceae UCG-010,0.812812762039353,0.20097921590671478,0.00013247861098308943,30,59,1.4074728914209262,0.1642672238044798,8.798381965147785e-12,25,40,0.3156075610254787,0.7725048844296177,0.6904183645326093,95,10,0.14735374592426023,0.7906405742364171,0.8521525716180466,104,1.0375509105772456,0.27702910761101823,0.49457385965964984,1.5805279614948413,0.0001801944174433254,0.27702910761101823,-0.15440913549058832,2.2295109566450795,0.06447266523231894,2,0.9110767161882471,0.13796650659586765,6.437489451524167,0.040005244307999226,68.93198792696317,True,True,True,False
Lactobacillus,-0.08820223302368557,0.4092660755915789,0.8300227584098538,30,59,-0.9535757163397502,0.5618456068082512,0.0952867112808091,25,40,-1.5916253600023784,1.0331697895350622,0.1536697364427956,95,10,-1.4536084154458337,1.1352826833559708,0.20040682620057315,104,-0.5907009263651208,0.4007939222593046,-1.3762570139933579,0.1948551612631162,0.14052816169835422,0.4007939222593046,-2.315177990019741,1.1337761372894994,0.27845117283812365,2,0.9637782217525227,0.1431089624397298,2.7804957627228664,0.24901357115766168,28.070381303460334,True,False,False,False
Ligilactobacillus,-1.0734171609967809,0.39957526145692995,0.0087373992242718,30,59,-1.3087209668212816,0.37430565164483975,0.0009960206826300324,25,40,-1.8697096396438062,1.0576828148937976,0.1090358706962713,95,10,-1.554377053643309,1.183066422981012,0.18889519858089454,104,-1.2407021812254886,0.2644918427739868,-1.7591061930625027,-0.7222981693884745,2.720189886633346e-06,0.2644918427739868,-2.3787187305193456,-0.1026856319316316,0.042564823747705614,2,0.28098395117761826,0.0,0.5619679023552365,0.7550404528930922,0.0,True,True,True,False
Limosilactobacillus,-1.08878687229116,0.4285590659601991,0.013754199609693535,30,59,-0.8404175543772352,0.43351262356044384,0.05794425688589981,25,40,-1.251054294199956,1.0184871319920643,0.24774678366608094,95,10,-1.0916296898503421,1.1107477224634064,0.3257117194087674,104,-0.9894543609159081,0.2919807634237829,-1.5617366572265226,-0.41717206460529366,0.0007020800380628983,0.2919807634237829,-2.245746189680011,0.2668374678481946,0.0771386268096763,2,0.11894330408130815,0.0,0.2378866081626163,0.8878581372677598,0.0,True,True,False,False
Monoglobus,-0.8799135581529844,0.18127063445721495,5.528777143845989e-06,30,59,-1.685687944568044,0.213474220736523,1.4283376531053806e-10,25,40,1.723848638462145,0.8516581678607912,0.06875333701400983,95,10,1.5747364219769695,0.9187502297477689,0.08652902007964404,104,-0.6774061950452501,0.5249691539424316,-1.706345736772416,0.3515333466819157,0.19692106763801542,0.8872910620017663,-4.495111505002139,3.1402991149116386,0.5249575568083743,2,2.856700044701561,0.6501385641229178,19.900269078257125,4.7721213134457985e-05,89.94988463655909,False,True,True,False
NK4A214 group,0.6337048342539151,0.23575793870536013,0.008630224044247903,30,59,0.6919733054086447,0.3110830744529751,0.03015182545546394,25,40,0.40632890053245224,0.8629022847452036,0.6469132260826174,95,10,0.15735255470161358,0.8569755747168862,0.854316424525443,104,0.6437072135157254,0.1835929041169785,0.2838651214464475,1.003549305585003,0.0004546114558492242,0.1835929041169785,-0.14622929653603434,1.433643723567485,0.07259861576728047,2,0.050774597346489606,0.0,0.10154919469297921,0.9504928900082514,0.0,True,True,True,False
Negativibacillus,-1.4243195359562777,0.19328142346050478,9.322927904061466e-11,30,59,0.8346851373982513,0.286604216610253,0.006025742370351517,25,40,0.0661484580154692,0.6393705302568207,0.9195049035427727,95,10,0.07955620220649662,0.6701393694395265,0.9055004347178227,104,-0.19466509990805217,0.8629729975188575,-1.8860921750450128,1.4967619752289085,0.8215320174679288,0.8629729975188575,-3.9077382233366262,3.518408023520522,0.8424855739553555,2,0.6187266484432278,2.0697034156081626,44.11956006059922,2.6276000462580205e-10,95.46686322970366,False,True,False,False
Odoribacter,-0.45778589673497394,0.2806746371231532,0.1070932022413671,30,59,0.2709381575444717,0.3633872322998069,0.4591270906105217,25,40,1.148513950022655,0.7722871769838113,0.1637894140714899,95,10,0.7805123147326166,0.8477953176899313,0.35723962267427245,104,0.10761012380370627,0.39486702137801316,-0.6663292380971995,0.881549485704612,0.7852203400251538,0.4148728511934049,-1.6774436818604186,1.892663929467831,0.819599132259664,2,1.103896368434114,0.27613241994469273,5.274551435110497,0.07155594286240793,62.08208366901437,False,False,False,False
Oscillibacter,0.08081732352032156,0.25742308838167255,0.7543134328759336,30,59,1.0192725702948908,0.27767102913247926,0.0005549242308125882,25,40,1.2300362138880994,0.8918730046162908,0.1954620020255902,95,10,1.3250993947243097,0.9648090801748401,0.16961817428792514,104,0.6431398005639544,0.39953171152035083,-0.13994235401593325,1.426221955143842,0.10745592788765057,0.39953171152035083,-1.0759064086092547,2.3621860097371634,0.2487422634333107,2,0.7728680551635186,0.30198652848426105,6.758841758620771,0.03406717803059801,70.40913115847047,True,False,False,False
Parabacteroides,0.38664032277616833,0.2673927309940267,0.1520854143383221,30,59,-0.12727475209616435,0.26840719801937235,0.637335011670245,25,40,-0.9803956111262426,0.9135971608264045,0.3060029800336786,95,10,-1.2496271556299243,0.9603835867800609,0.19319854548841464,104,0.04491413235628642,0.26499410412571023,-0.4744743117301056,0.5643025764426784,0.8654104014798383,0.27234590161091216,-1.1268957046314616,1.2167239693440346,0.8841718365087523,2,1.0562561864151085,0.08034781864575488,3.257952775788649,0.19613023269159297,38.61175598176489,False,True,False,False
Paraprevotella,1.575758594143087,0.3927240724078925,0.00016110820132924196,30,59,1.5917931422932832,0.384988863599637,0.00010707433533675915,25,40,1.1336992123706375,0.744317064765152,0.15068910170150873,95,10,1.1251724257528988,0.870497472113879,0.19616240177157707,104,1.5298845258130203,0.25789261353139215,1.0244150032914918,2.0353540483345487,2.9880362224198102e-09,0.25789261353139215,0.42026216823370377,2.639506883392337,0.027259298158196568,2,0.16141276537702512,0.0,0.32282553075405024,0.8509407597240378,0.0,True,True,True,False
