pseudocount,genus,omitted,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent
0.1,Adlercreutzia,PRJNA784025_discovery,-0.07434797346260913,0.9297339661447028,-1.8966265471062267,1.7479306001810084,0.9362635556330853,0.9297339661447029,-11.887738097712232,11.739042150787013,0.9491995701733855,1,1.0000000000000002,1.6054311906820522,14.01215428925898,0.00018163275272575554,92.86333864617413
0.1,Adlercreutzia,PRJNA784025_validation,-0.10885080246655283,0.9547105467685085,-1.9800834741328295,1.7623818691997237,0.9092263349049506,0.9547105467685085,-12.239598473738251,12.021896868805147,0.9277282262377731,1,1.0,1.717834709028749,17.316257574119962,3.164677239162949e-05,94.22508012646709
0.1,Adlercreutzia,PRJEB54571_external,-1.0335495659261575,0.22635518031957988,-1.477205719352534,-0.589893412499781,4.9699509017497685e-06,0.22635518031957988,-3.9096648302187447,1.8425656983664294,0.13725744822444752,1,0.011860866785358002,0.0,0.011860866785358002,0.9132757733045122,0.0
0.1,Agathobacter,PRJNA784025_discovery,0.3333714564456605,0.21430362234200107,-0.08666364334466159,0.7534065562359826,0.11980241541772076,0.21430362234200107,-2.3896142447908284,3.0563571576821493,0.36371581864550945,1,0.0034144054815187902,0.0,0.0034144054815187902,0.9534037976789044,0.0
0.1,Agathobacter,PRJNA784025_validation,-0.4194191759340421,0.20069462457948772,-0.8127806401098381,-0.02605771175824617,0.03663238898846505,0.20069462457948772,-2.9694861653423903,2.1306478134743063,0.28412664555862893,1,0.34910541599554695,0.0,0.34910541599554695,0.5546199697003554,0.0
0.1,Agathobacter,PRJEB54571_external,-0.05600390603156024,0.3877966493387729,-0.8160853387355551,0.7040775266724346,0.8851722577084097,0.3877966493387729,-4.983427528632373,4.871419716569252,0.9086934079625469,1,1.0,0.25630962567289667,6.760680782438802,0.009318820185689134,85.20859019704719
0.1,Alistipes,PRJNA784025_discovery,0.742512864623891,1.2665298070513527,-1.7398855571967602,3.2249112864445424,0.557702345330123,1.2665298070513529,-15.350274168564436,16.835299897812217,0.662430080295562,1,1.0000000000000002,2.476810832415036,3.5568579554142734,0.05929988656796083,71.88529841407377
0.1,Alistipes,PRJNA784025_validation,0.8485668056309111,1.096934089417987,-1.3014240096283434,2.998557620890166,0.43917891576749135,1.096934089417987,-13.089302316885744,14.786435928147567,0.5808351488097371,1,0.9999999999999993,1.7357624230503514,2.7872892720178783,0.09501483021142668,64.12284831577446
0.1,Alistipes,PRJEB54571_external,-0.08193086830197494,0.18281158053891572,-0.4402415661582497,0.27637982955429985,0.6540297135998039,0.18281158053891572,-2.4047722388201835,2.2409105022162334,0.7317717332315656,1,0.6647341774159324,0.0,0.6647341774159324,0.41489355908307357,0.0
0.1,Allisonella,PRJNA784025_discovery,0.2451386465910603,0.759698991437954,-1.2438713766273295,1.7341486698094501,0.7469386211453338,0.759698991437954,-9.407752276680558,9.898029569862679,0.8012913046396898,1,1.0,0.8170105572643551,3.209281949876506,0.07322161051807322,68.84038187923998
