species,prevalence_all,prevalence_discovery,prevalence_validation
Peptostreptococcus stomatis,0.26512968299711814,0.2753623188405797,0.25
Gemella morbillorum,0.1873198847262248,0.178743961352657,0.2
Fusobacterium nucleatum,0.2219020172910663,0.21739130434782608,0.22857142857142856
Parvimonas unclassified,0.34293948126801155,0.33816425120772947,0.35
