"analysis_id","platform","feature_id","contrast","feature_identification","n_pairs","median_log2_difference","mean_log2_difference","paired_dz","wilcoxon_p","paired_t_p","wilcoxon_q","paired_t_q","analysis_pass","wilcoxon_q_eligible_family","paired_t_q_eligible_family"
"AN001900","GCMS_positive","117_393.720958083832","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.333526886381245,0.319096453270192,0.601953710424224,0.000967404859422594,0.000485270295066238,0.00723060333073588,0.00378302111745186,TRUE,0.00386961943769037,0.00205200010485152
"AN001900","GCMS_positive","154_419.222435897436","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.331515962036553,0.474269183716972,0.47825721175645,0.00859456895786148,0.00438730635702191,0.0421017736111458,0.0240969477942491,TRUE,0.02543992411527,0.0138153476774307
"AN001900","GCMS_positive","147_473.133950617284","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.34508986899054,0.350300469299583,0.436695374339662,0.0121828952742409,0.00871838013861524,0.0566192248322092,0.0426611428123648,TRUE,0.035354284325248,0.0248138511637511
"AN001900","GCMS_positive","177_482.514649681529","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-0.939548849652452,-0.954853396785695,-1.25088695958981,4.80937080894627e-07,1.24363449740698e-09,3.87421537387339e-05,1.5027250177001e-07,TRUE,1.01683839960578e-05,4.60144764040584e-08
"AN001900","GCMS_positive","145_504.834939759036","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.356553532405407,0.338986182704588,0.692428543563553,0.000138625553495642,8.67103293867646e-05,0.00167505877140567,0.000952499830384914,TRUE,0.00102582909586775,0.000534713697885048
"AN001900","GCMS_positive","86_510.145161290323","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.337469091454784,0.338262380610838,0.618496409235101,0.000723576892466715,0.000356244717487283,0.00602980743722263,0.0029349706838441,TRUE,0.003149687649561,0.00159770358145812
"AN001900","GCMS_positive","211_529.786419753087","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.613023772747725,0.660171676213095,0.711139654395887,0.000291848875388023,6.02211056944427e-05,0.00293875603689329,0.000693020660769381,TRUE,0.00154262976990812,0.000405123801944433
"AN001900","GCMS_positive","144_554.661111111111","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.29438516409324,0.299891858104233,0.501266829941006,0.00254809136368883,0.00296199059672385,0.0162049670059158,0.0176019933002032,TRUE,0.00877017492618481,0.00996305927988932
"AN001900","GCMS_positive","110_585.553459119497","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-0.490823591026029,-0.591835531136007,-0.732214318760881,0.000323710638206357,3.98324037231932e-05,0.00312920283599478,0.00052506350362391,TRUE,0.00165204049843244,0.000280723607192028
"AN001900","GCMS_positive","158_607.421604938273","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.576411486121392,0.394985277907754,0.526571826568674,0.000655924177358269,0.00190460224224117,0.00559464739511465,0.0121126019791653,TRUE,0.00303364932028199,0.00687514955735838
"AN001900","GCMS_positive","247_641.462275449102","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.36887730521788,-1.4099381106916,-1.26149764205131,2.5398644358245e-07,1.01150130509361e-09,3.2874675904295e-05,1.46667689238573e-07,TRUE,8.94795776337591e-06,4.60144764040584e-08
"AN001900","GCMS_positive","312_666.8175","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-0.418046949348539,-0.474630970011263,-0.659408631415024,0.000511662630477131,0.000163945723885011,0.00452384642799903,0.00160622499752207,TRUE,0.00244277642937469,0.000866570254820773
"AN001900","GCMS_positive","245_669.014110429448","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-2.06878102230486,-1.87911400742775,-1.5092799190753,9.14633157910047e-08,9.39308334852696e-12,3.19588837480334e-05,6.80998542768204e-09,TRUE,8.94795776337591e-06,1.39017633558199e-09
