"analysis_id","feature_id","platform","contrast","feature_identification","n_pairs","median_log2_difference","mean_log2_difference","paired_dz","wilcoxon_p","paired_t_p","wilcoxon_q","paired_t_q","analysis_pass","wilcoxon_q_eligible_family","paired_t_q_eligible_family","metabolite","mode","matching_mass","rt_minutes","authentic_standard","identification_tier","source","observed_mass","observed_rt_minutes","mass_error","rt_error_minutes","candidate_count","match_status","publisher_identified","promotion_eligible"
"AN001900","117_393.720958083832","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.333526886381245,0.319096453270192,0.601953710424224,0.000967404859422594,0.000485270295066238,0.00723060333073588,0.00378302111745186,TRUE,0.00386961943769037,0.00205200010485152,"lactic acid","EI",117,6.6,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",117,6.56201596806387,0,-0.0379840319361335,2,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001900","117_393.720958083832","GCMS_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,0.197372294670641,0.0786175090629882,0.115811981948268,0.759765825978067,0.722654852690606,0.922073074253307,0.872215289236464,TRUE,0.873431579470848,0.850867810426036,"lactic acid","EI",117,6.6,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",117,6.56201596806387,0,-0.0379840319361335,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001900","169_1618.6417721519","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",8,-0.113296232058778,0.0854596313828244,0.144084615815394,0.726286148878805,0.695791804271071,0.857833714550539,0.82832357651318,FALSE,NA,NA,"adenosine monophosphate","EI",169,27.1,TRUE,"level_1_authentic_standard","Supplementary Table S3",169,26.9773628691983,0,-0.122637130801667,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001900","169_1618.6417721519","GCMS_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",2,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,"adenosine monophosphate","EI",169,27.1,TRUE,"level_1_authentic_standard","Supplementary Table S3",169,26.9773628691983,0,-0.122637130801667,2,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001900","205_1083.55889570552","GCMS_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.34755513123408,-1.39796363880318,-0.921056992821043,0.0190588916017305,0.017237085070487,0.292088594547451,0.211321852476735,TRUE,0.214125795177531,0.178464455596584,"glucose","EI",205,18.1,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",205,18.0593149284253,0,-0.0406850715746678,3,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001900","205_1083.55889570552","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.73375580367261,-2.13785260092563,-1.02033084460578,2.36386092172861e-07,1.2173425502527e-07,3.2874675904295e-05,4.90318527185115e-06,TRUE,8.94795776337591e-06,2.25208371796749e-06,"glucose","EI",205,18.1,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",205,18.0593149284253,0,-0.0406850715746678,3,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001900","233_788.694444444445","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.32723102816812,-1.4651252424417,-1.21867938841492,3.62755044461186e-07,2.33478882558658e-09,3.2874675904295e-05,2.4181741407861e-07,TRUE,8.94795776337591e-06,6.91097492373627e-08,"malic acid","EI",233,13.1,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",233,13.1449074074074,0,0.0449074074074183,3,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001900","233_788.694444444445","GCMS_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.25839668915068,-1.2201644038274,-0.90045555813039,0.0249324556028631,0.0191674881606683,0.293401575755122,0.22556026246215,TRUE,0.214125795177531,0.178464455596584,"malic acid","EI",233,13.1,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",233,13.1449074074074,0,0.0449074074074183,3,"high_confidence_mass_rt_match",TRUE,FALSE
"AN001900","245_669.014110429448","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-2.06878102230486,-1.87911400742775,-1.5092799190753,9.14633157910047e-08,9.39308334852696e-12,3.19588837480334e-05,6.80998542768204e-09,TRUE,8.94795776337591e-06,1.39017633558199e-09,"fumaric acid","EI",245,11.2,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",245,11.1502351738241,0,-0.0497648261758652,2,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001900","245_669.014110429448","GCMS_positive","paired_HCC_vs_cirrhotic_adjacent","unidentified_mz_rt_feature",10,-1.5416811614872,-1.71859570414819,-1.15344591553376,0.0144328239388418,0.00533810487338133,0.292088594547451,0.179370789325436,TRUE,0.214125795177531,0.178464455596584,"fumaric acid","EI",245,11.2,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",245,11.1502351738241,0,-0.0497648261758652,2,"high_confidence_mass_rt_match",TRUE,FALSE
