"analysis_id","feature_id","platform","contrast","feature_identification","n_pairs","median_log2_difference","mean_log2_difference","paired_dz","wilcoxon_p","paired_t_p","wilcoxon_q","paired_t_q","analysis_pass","wilcoxon_q_eligible_family","paired_t_q_eligible_family","metabolite","mode","matching_mass","rt_minutes","authentic_standard","identification_tier","source","observed_mass","observed_rt_minutes","mass_error","rt_error_minutes","candidate_count","match_status","publisher_identified","promotion_eligible"
"AN001900","117_393.720958083832","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.333526886381245,0.319096453270192,0.601953710424224,0.000967404859422594,0.000485270295066238,0.00723060333073588,0.00378302111745186,TRUE,0.00386961943769037,0.00205200010485152,"lactic acid","EI",117,6.6,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",117,6.56201596806387,0,-0.0379840319361335,2,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001900","205_1083.55889570552","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.73375580367261,-2.13785260092563,-1.02033084460578,2.36386092172861e-07,1.2173425502527e-07,3.2874675904295e-05,4.90318527185115e-06,TRUE,8.94795776337591e-06,2.25208371796749e-06,"glucose","EI",205,18.1,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",205,18.0593149284253,0,-0.0406850715746678,3,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001900","233_788.694444444445","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.32723102816812,-1.4651252424417,-1.21867938841492,3.62755044461186e-07,2.33478882558658e-09,3.2874675904295e-05,2.4181741407861e-07,TRUE,8.94795776337591e-06,6.91097492373627e-08,"malic acid","EI",233,13.1,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",233,13.1449074074074,0,0.0449074074074183,3,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001900","245_669.014110429448","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-2.06878102230486,-1.87911400742775,-1.5092799190753,9.14633157910047e-08,9.39308334852696e-12,3.19588837480334e-05,6.80998542768204e-09,TRUE,8.94795776337591e-06,1.39017633558199e-09,"fumaric acid","EI",245,11.2,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",245,11.1502351738241,0,-0.0497648261758652,2,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001900","247_641.462275449102","GCMS_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.36887730521788,-1.4099381106916,-1.26149764205131,2.5398644358245e-07,1.01150130509361e-09,3.2874675904295e-05,1.46667689238573e-07,TRUE,8.94795776337591e-06,4.60144764040584e-08,"succinic acid","EI",247,10.7,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3",247,10.6910379241517,0,-0.00896207584830044,2,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001901","218.139172537477_34.8179986000061","LCMS_RP_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",37,-2.27068183165049,-2.51519338065878,-1.37695617683483,2.28404645070723e-07,5.64602842503047e-10,1.86394504995215e-05,3.7944632209396e-08,TRUE,5.9385207718388e-06,1.20106422859739e-08,"propionylcarnitine","ESI_positive",218.1391,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3",218.139172537477,0.580299976666768,0.332528542547617,-0.0197000233332316,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001901","258.110022427755_41.2540007925034","LCMS_RP_positive","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",37,-1.69090102859952,-1.78958099206058,-1.04008713157912,3.63044029408532e-06,2.54952769692047e-07,7.6810704370231e-05,5.20149177452078e-06,TRUE,3.69357838615636e-05,3.13994463725995e-06,"glycerophosphocholine","ESI_positive",258.11,0.7,FALSE,"putative_level_2_MS2","Supplementary Table S3",258.110022427755,0.687566679875057,0.0868922357542214,-0.0124333201249434,2,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001902","135.0299427_34.85699845","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,0.737373965904525,0.690557082520539,0.568384585914444,0.00222897560101298,0.000900062545941278,0.00856852958311485,0.00375237343096645,TRUE,0.00577057016706695,0.00246723027299197,"hypoxanthine","ESI_negative",135.0299,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3",135.0299427,0.580949974166667,0.316226257995533,-0.0190500258333334,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001902","171.0051031_33.96449903","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.73487376895214,-1.63118487406808,-1.0450443524884,2.99954733284378e-06,7.39823815637906e-08,5.18804751978453e-05,1.51026103054359e-06,TRUE,3.32806918358382e-05,9.07257626545432e-07,"glycerol 3-phosphate","ESI_negative",171.0051,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3",171.0051031,0.566074983833333,0.0181281143948959,-0.0339250161666667,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001902","214.0477418_34.40299896","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.84336445291901,-1.91614572128201,-0.886805554502643,3.89166724423655e-06,1.80996011479441e-06,5.35783025253033e-05,1.57572998229161e-05,TRUE,3.62703387162847e-05,1.02858708962707e-05,"glycerylphosphorylethanolamine","ESI_negative",214.0477,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3",214.0477418,0.573383316,0.195283574733672,-0.0266166840000001,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001902","279.2317377_529.1069858","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.04544872352283,-1.05375914805614,-0.882890309934134,1.75091829453718e-05,1.95889280641065e-06,0.000132890209021283,1.65666363056443e-05,TRUE,8.32579515565637e-05,1.08671910450876e-05,"linoleic acid","ESI_negative",279.2317,8.8,TRUE,"level_1_authentic_standard","Supplementary Table S3",279.2317377,8.81844976333333,0.135013324085821,0.0184497633333311,1,"high_confidence_mass_rt_match",TRUE,TRUE
"AN001902","283.0671613_34.37849986","LCMS_RP_negative","paired_HCC_vs_all_adjacent","unidentified_mz_rt_feature",40,-1.50197846923369,-1.4544938040807,-0.912757395031473,6.49636755059601e-06,1.07117785176041e-06,6.6307751550911e-05,1.09334015214166e-05,TRUE,4.45192246849668e-05,6.74552539081558e-06,"xanthosine","ESI_negative",283.0671,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3",283.0671613,0.572974997666667,0.216556427882758,-0.0270250023333334,1,"high_confidence_mass_rt_match",TRUE,TRUE
