"sample_id","title","group","processing_plate","score","program","family"
"GSM1559647","cirrhosis [B246_plate24_1_G05]","Cirrhosis","plate24_1",-0.206614477316508,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559648","hepatocellular carcinoma [B247_plate24_1_H05]","HCC","plate24_1",-0.107893342527068,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559649","cirrhosis [B264_plate24_1_A07]","Cirrhosis","plate24_1",-0.46336103235371,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559650","hepatocellular carcinoma [B265_plate24_1_B07]","HCC","plate24_1",0.348557714127294,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559651","cirrhosis [B294_plate24_1_C07]","Cirrhosis","plate24_1",-0.210983597031245,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559652","hepatocellular carcinoma [B295_plate24_1_D07]","HCC","plate24_1",-0.0597524818839652,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559653","cirrhosis [B298_plate24_1_E07]","Cirrhosis","plate24_1",-0.233684108717531,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559654","hepatocellular carcinoma [B299_plate24_1_F07]","HCC","plate24_1",0.0551142966073506,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559655","cirrhosis [B300_plate24_1_G07]","Cirrhosis","plate24_1",-0.330405209543561,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559656","hepatocellular carcinoma [B301_plate24_1_H07]","HCC","plate24_1",0.380137162603576,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559657","cirrhosis [B306_plate24 2_G05]","Cirrhosis","plate24_2",-0.230060482655023,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559658","hepatocellular carcinoma [B307_plate24 2_H05]","HCC","plate24_2",0.0314309792267447,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559659","cirrhosis [B316_plate24 2_A07]","Cirrhosis","plate24_2",-0.175879059942812,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559660","hepatocellular carcinoma [B317_plate24 2_B07]","HCC","plate24_2",-0.0146700067562034,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559661","cirrhosis [B318_plate24 2_C07]","Cirrhosis","plate24_2",-0.26914519078049,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559662","hepatocellular carcinoma [B319_plate24 2_D07]","HCC","plate24_2",0.53434616848339,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559663","cirrhosis [B324_plate24 2_E07]","Cirrhosis","plate24_2",-0.217258828958919,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559664","hepatocellular carcinoma [B325_plate24 2_F07]","HCC","plate24_2",0.262185140125886,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559665","hepatocellular carcinoma [M207_plate1_A01]","HCC","plate1",0.177900719099071,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559666","cirrhosis [M208_plate1_A02]","Cirrhosis","plate1",-0.17635287968185,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559667","hepatocellular carcinoma [M209_plate1_A03]","HCC","plate1",0.0821518897956675,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559668","cirrhosis [M210_plate1_A04]","Cirrhosis","plate1",-0.26742323750829,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559669","hepatocellular carcinoma [M213_plate1_A05]","HCC","plate1",0.0358696430052315,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559670","cirrhosis [M214_plate1_A06]","Cirrhosis","plate1",-0.29728907246848,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559671","hepatocellular carcinoma [M223_plate1_A07]","HCC","plate1",0.00395423320123812,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559672","cirrhosis [M224_plate1_A08]","Cirrhosis","plate1",-0.261198240216443,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559673","hepatocellular carcinoma [M229_plate1_A09]","HCC","plate1",-0.00121241094856771,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559674","cirrhosis [M230_plate1_A10]","Cirrhosis","plate1",-0.321917356369712,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559675","hepatocellular carcinoma [M233_plate1_A11]","HCC","plate1",0.0786387418788015,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559676","cirrhosis [M234_plate1_A12]","Cirrhosis","plate1",-0.457097039404887,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559677","hepatocellular carcinoma [M235_plate1_B01]","HCC","plate1",-0.108932035005331,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559678","cirrhosis [M236_plate1_B02]","Cirrhosis","plate1",-0.220908592444034,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559679","hepatocellular carcinoma [M237_plate1_B03]","HCC","plate1",0.138507265086842,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559680","cirrhosis [M238_plate1_B04]","Cirrhosis","plate1",-0.263038863813559,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559681","hepatocellular carcinoma [M243_plate1_B05]","HCC","plate1",-0.0594262261460305,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559682","cirrhosis [M244_plate1_B06]","Cirrhosis","plate1",-0.145375630493348,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559683","hepatocellular carcinoma [M247_plate1_B07]","HCC","plate1",-0.0636341993678603,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559684","cirrhosis [M248_plate1_B08]","Cirrhosis","plate1",-0.248890099747988,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559685","hepatocellular carcinoma [M253_plate1_B09]","HCC","plate1",0.234492217097039,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559686","cirrhosis [M254_plate1_B10]","Cirrhosis","plate1",-0.173816253553054,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559687","hepatocellular carcinoma [M255_plate1_B11]","HCC","plate1",-0.0485078829119556,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559688","cirrhosis [M256_plate1_B12]","Cirrhosis","plate1",-0.248231763143519,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559689","hepatocellular carcinoma [M257_plate24 2_G07]","HCC","plate24_2",-0.0224662247261804,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559690","hepatocellular carcinoma [M261_plate1_C01]","HCC","plate1",-0.0472671614048077,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559691","cirrhosis [M262_plate1_C02]","Cirrhosis","plate1",-0.222902645399052,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559692","hepatocellular carcinoma [M265_plate1_G02]","HCC","plate1",-0.175152280879175,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559693","hepatocellular carcinoma [M267_plate1_C03]","HCC","plate1",-0.157172165338859,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559694","cirrhosis [M268_plate1_C04]","Cirrhosis","plate1",-0.144298906498561,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559695","hepatocellular carcinoma [M269_plate1_G03]","HCC","plate1",-0.189420420407006,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559696","hepatocellular carcinoma [M271_plate1_G04]","HCC","plate1",0.528687562904075,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559697","hepatocellular carcinoma [M275_plate1_C05]","HCC","plate1",0.022916660923337,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559698","cirrhosis [M276_plate1_C06]","Cirrhosis","plate1",-0.132199760129288,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559699","hepatocellular carcinoma [M279_plate1_C07]","HCC","plate1",0.0568860077152658,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559700","cirrhosis [M280_plate1_C08]","Cirrhosis","plate1",-0.212316087266356,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559701","hepatocellular carcinoma [M305_plate1_C09]","HCC","plate1",0.269330260955238,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559702","cirrhosis [M306_plate1_C10]","Cirrhosis","plate1",-0.274332933985935,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559703","hepatocellular carcinoma [M311_plate1_C11]","HCC","plate1",0.129991987617512,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559704","cirrhosis [M312_plate1_C12]","Cirrhosis","plate1",-0.151601095563479,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559705","hepatocellular carcinoma [M319_plate1_D01]","HCC","plate1",0.575592159059023,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559706","cirrhosis [M320_plate1_D02]","Cirrhosis","plate1",-0.121726641194029,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559707","hepatocellular carcinoma [M321_plate1_G05]","HCC","plate1",0.638303031839258,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559708","hepatocellular carcinoma [M325_plate1_D03_2]","HCC","plate1",-0.081651485499317,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559709","cirrhosis [M326_plate1_D04]","Cirrhosis","plate1",-0.312558579879661,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559710","hepatocellular carcinoma [M327_plate1_D05]","HCC","plate1",0.753474454604001,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559711","cirrhosis [M328_plate1_D06]","Cirrhosis","plate1",-0.226879912942647,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559712","hepatocellular carcinoma [M329_plate1_G06]","HCC","plate1",0.0999699282737265,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559713","hepatocellular carcinoma [M335_plate1_G07]","HCC","plate1",-0.124450424590034,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559714","hepatocellular carcinoma [M337_plate1_G08]","HCC","plate1",0.0664219806091111,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559715","hepatocellular carcinoma [M339_plate1_D07]","HCC","plate1",0.232315057492982,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559716","cirrhosis [M340_plate1_D08]","Cirrhosis","plate1",-0.275904212592213,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559717","hepatocellular carcinoma [M345_plate1_D09]","HCC","plate1",0.0110998764019213,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559718","cirrhosis [M346_plate1_D10]","Cirrhosis","plate1",-0.212108505218457,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559719","hepatocellular carcinoma [M353_plate1_G09]","HCC","plate1",-0.0620029752986381,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559720","hepatocellular carcinoma [M357_plate1_D11]","HCC","plate1",0.596550333035657,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559721","cirrhosis [M358_plate1_D12]","Cirrhosis","plate1",-0.294196310406249,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559722","hepatocellular carcinoma [M363_plate1_E01]","HCC","plate1",-0.059352067462723,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559723","cirrhosis [M364_plate1_E02]","Cirrhosis","plate1",-0.284351027367873,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559724","hepatocellular carcinoma [M369_plate1_G10]","HCC","plate1",0.130540118566521,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559725","hepatocellular carcinoma [M371_plate1_E03]","HCC","plate1",0.214186776893504,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559726","cirrhosis [M372_plate1_E04]","Cirrhosis","plate1",-0.312454161102139,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559727","hepatocellular carcinoma [M373_plate1_E05]","HCC","plate1",0.035418223610244,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559728","cirrhosis [M374_plate1_E06]","Cirrhosis","plate1",-0.254519623081898,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559729","hepatocellular carcinoma [M375_plate1_G11]","HCC","plate1",0.664508029605975,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559730","hepatocellular carcinoma [M379_plate1_E07]","HCC","plate1",-0.0597949349072555,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559731","cirrhosis [M380_plate1_E08]","Cirrhosis","plate1",-0.299453882625403,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559732","hepatocellular carcinoma [M385_plate1_E09]","HCC","plate1",0.0555875564304231,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559733","cirrhosis [M386_plate1_E10]","Cirrhosis","plate1",-0.286869726385812,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559734","hepatocellular carcinoma [M391_plate1_E11]","HCC","plate1",-0.00579244443317466,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559735","cirrhosis [M392_plate1_E12]","Cirrhosis","plate1",-0.2681806267446,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559736","hepatocellular carcinoma [M393_plate1_F01]","HCC","plate1",0.334298475892103,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559737","cirrhosis [M394_plate1_F02]","Cirrhosis","plate1",-0.238893766593179,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559738","hepatocellular carcinoma [M397_plate1_G12]","HCC","plate1",0.774576939654032,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559739","hepatocellular carcinoma [M399_plate1_F03]","HCC","plate1",0.323200758943549,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559740","cirrhosis [M400_plate1_F04]","Cirrhosis","plate1",-0.247048489441507,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559741","hepatocellular carcinoma [M407_plate1_H01]","HCC","plate1",0.346561246349819,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559742","hepatocellular carcinoma [M411_plate1_F05]","HCC","plate1",0.100972551670818,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559743","cirrhosis [M412_plate1_F06]","Cirrhosis","plate1",-0.121603896347868,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559744","hepatocellular carcinoma [M421_plate1_F07]","HCC","plate1",0.89266651298929,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559745","cirrhosis [M422_plate1_F08]","Cirrhosis","plate1",-0.216810737626158,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559746","hepatocellular carcinoma [M423_plate1_F09]","HCC","plate1",0.258631532781813,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559747","cirrhosis [M424_plate1_F10]","Cirrhosis","plate1",-0.195072933132563,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559748","hepatocellular carcinoma [M425_plate1_F11]","HCC","plate1",0.121855258722988,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559749","cirrhosis [M426_plate1_F12]","Cirrhosis","plate1",-0.193677657084771,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559750","hepatocellular carcinoma [M435_placa96_2_A01]","HCC","plate96_2",-0.186626417687668,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559751","cirrhosis [M436_placa96_2_A02]","Cirrhosis","plate96_2",-0.254241303358795,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559752","hepatocellular carcinoma [M439_placa96_2_A03]","HCC","plate96_2",0.276374756103873,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559753","cirrhosis [M440_placa96_2_A04]","Cirrhosis","plate96_2",-0.308365025972217,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559754","hepatocellular carcinoma [M443_plate1_H02]","HCC","plate1",0.053601512038865,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559755","hepatocellular carcinoma [M451_plate1_H03]","HCC","plate1",-0.0320205171943742,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559756","hepatocellular carcinoma [M455_placa96_2_A05]","HCC","plate96_2",-0.10722910087842,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559757","cirrhosis [M456_placa96_2_A06]","Cirrhosis","plate96_2",-0.339995130220384,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559758","hepatocellular carcinoma [M459_placa96_2_A07]","HCC","plate96_2",0.710914577041294,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559759","cirrhosis [M460_placa96_2_A08]","Cirrhosis","plate96_2",-0.395591951927194,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559760","hepatocellular carcinoma [M461_plate1_H04]","HCC","plate1",-0.279261700319046,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559761","hepatocellular carcinoma [M467_placa96_2_A09]","HCC","plate96_2",0.0666032808222684,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559762","cirrhosis [M468_placa96_2_A10]","Cirrhosis","plate96_2",-0.30507446894503,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559763","hepatocellular carcinoma [M473_plate1_H05]","HCC","plate1",0.278146514988249,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559764","hepatocellular carcinoma [M477_placa96_2_A11]","HCC","plate96_2",-0.184430349517987,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559765","cirrhosis [M478_placa96_2_A12]","Cirrhosis","plate96_2",-0.332980709448985,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559766","hepatocellular carcinoma [M479_placa96_2_B01]","HCC","plate96_2",-0.128380516501417,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559767","cirrhosis [M480_placa96_2_B02]","Cirrhosis","plate96_2",-0.242051854834402,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559768","hepatocellular carcinoma [M483_placa96_2_B03]","HCC","plate96_2",0.213115941260983,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559769","cirrhosis [M484_placa96_2_B04]","Cirrhosis","plate96_2",-0.140069561675722,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559770","hepatocellular carcinoma [M489_placa96_2_B05]","HCC","plate96_2",-0.0476388999401204,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559771","cirrhosis [M490_placa96_2_B06]","Cirrhosis","plate96_2",-0.211653347150926,"cell_division","primary_PRJEB54571_GO_programs"
