sample,condition,locked_program_score
con_1,control,-0.9633922835452001
con_2,control,-0.9066351466119323
con_3,control,-0.8632227805217609
fa_1,GCA,0.826271909637088
fa_2,GCA,0.9388862120407637
fa_3,GCA,0.9680920890010419
