sample,condition,PC1,PC2
con_1,control,-23.001728682174107,34.988128530449195
con_2,control,-34.679864461400996,-14.4403121792689
con_3,control,-32.28484066480721,-15.411489035043662
fa_1,GCA,26.034994846381917,6.149960666091323
fa_2,GCA,28.292472394126712,-6.609866852364169
fa_3,GCA,35.63896656787375,-4.6764211298638685
