patient,site,celltype,n_cells,total_cells,proportion
HCC10,Lymph,Endothelial,28,2843,0.009848751319029195
HCC10,Lymph,Fibroblast,66,2843,0.02321491382342596
HCC10,Lymph,Hepatocyte,1463,2843,0.5145972564192755
HCC10,Lymph,Myeloid,552,2843,0.19416109743228985
HCC10,Lymph,T/NK,485,2843,0.17059444249032713
HCC10,Normal,B,67,3072,0.021809895833333332
HCC10,Normal,Endothelial,142,3072,0.046223958333333336
HCC10,Normal,Fibroblast,64,3072,0.020833333333333332
HCC10,Normal,Hepatocyte,99,3072,0.0322265625
HCC10,Normal,Myeloid,385,3072,0.12532552083333334
HCC10,Normal,T/NK,2315,3072,0.7535807291666666
HCC10,Tumor,B,33,2799,0.011789924973204717
HCC10,Tumor,Endothelial,9,2799,0.003215434083601286
HCC10,Tumor,Fibroblast,33,2799,0.011789924973204717
HCC10,Tumor,Hepatocyte,1165,2799,0.41622007859949983
HCC10,Tumor,Myeloid,795,2799,0.2840300107181136
HCC10,Tumor,T/NK,764,2799,0.27295462665237585
