"dataset","specimen","design","contrast","metabolite","effect","effect_measure","q_value","identification_tier","direct_cirrhosis_contrast"
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_cirrhotic_adjacent","hypoxanthine",0.737373965904525,"median_paired_log2_difference",0.215778441180848,"level_1_authentic_standard",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","hypoxanthine",0.737373965904525,"median_paired_log2_difference",0.00577057016706695,"level_1_authentic_standard",FALSE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_cirrhotic_adjacent","glycerol 3-phosphate",-1.19084440079233,"median_paired_log2_difference",0.218382437649097,"putative_level_2_MS2",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","glycerol 3-phosphate",-1.73487376895214,"median_paired_log2_difference",3.32806918358382e-05,"putative_level_2_MS2",FALSE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","glycerylphosphorylethanolamine",-1.84336445291901,"median_paired_log2_difference",3.62703387162847e-05,"putative_level_2_MS2",FALSE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_cirrhotic_adjacent","glycerylphosphorylethanolamine",-1.94620481099853,"median_paired_log2_difference",0.215778441180848,"putative_level_2_MS2",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","linoleic acid",-1.04544872352283,"median_paired_log2_difference",8.32579515565637e-05,"level_1_authentic_standard",FALSE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_cirrhotic_adjacent","linoleic acid",-1.35368422893321,"median_paired_log2_difference",0.30332979745613,"level_1_authentic_standard",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_cirrhotic_adjacent","xanthosine",-0.936575456858722,"median_paired_log2_difference",0.282115137421938,"level_1_authentic_standard",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","xanthosine",-1.50197846923369,"median_paired_log2_difference",4.45192246849668e-05,"level_1_authentic_standard",FALSE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_cirrhotic_adjacent","adenosine monophosphate",-1.67769802428612,"median_paired_log2_difference",NA,"level_1_authentic_standard",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","adenosine monophosphate",-1.39154569619709,"median_paired_log2_difference",NA,"level_1_authentic_standard",FALSE
